,Full_Street_address,SF_avail,Price_per_sf_per_year,Prop_desc,Latitude,Longitude,City,Zipcode
279,"72 7th Avenue, Brooklyn, NY 11217",800,112.5,"('800 SF Prime Retail / Restaurant. This beautiful modern space with brick walls and terra cotta floors is waiting for your next idea. Ideally suited for virtually all uses the current buildout can be used virtually intact. Located on the busiest stretch of 7th Avenue in North Park Slope this location is a rare gem. Use of basement included. Existing walk-in available if wanted.', '.')",40.6753675,-73.9751471,Brooklyn,11217
280,"420 Union Avenue, Brooklyn, NY 11211",3500,27.43,"('10 year lease + 5 year option\n\nStandalone building, Advertising Possible On Side Of Building\n\n2000 SF ground level with fully built kitchen\nImported pizza oven from Italy ground floor.\n\n5 tap system\n\n900 SF street facing garden\n\nUpstairs 500 SF office and 1000 SF prep room with walk-in box.\n\nFull liquor license until 1AM weekends, 11PM Weekdays\n\nSeating inside: 75 inside\nSeating outside: 50 outside\n\nKey Money Upon Request', 't')",40.7129545,-73.9512219,Brooklyn,11211
281,"185 5th Avenue, Brooklyn, NY 11217",1200,105.0,"('Fully built out and turn key restaurant on a prime corner on 5th Avenue in Park Slope. This beautiful restaurant is built to the full 1200 SF on the street level with a huge dining room and bar and th extra large kitchen is on the lower level. \n\nCafe permit for outdoor seating available. \n\n** New 10 year lease from the Landlord - this is not an assignment\n\nEverything stays except for a few items and the art on the walls. Full inventory list available. Key money on request.', '.')",40.677051,-73.9797224,Brooklyn,11217
282,"454 W Broadway, New York, NY 10012",2500,312.0,"('Approx 2500 sf on ground with basement \n16 ft ceilings on ground; 10 ft ceilings on lower level', 'l')",40.7262156,-74.0008881,New York,10012
283,"175 E Central Avenue, Spring Valley, NY 10977",20000,18.0,"(""Join Food Fare supermarket in redevelopment!\nSupermarket draws over 12,000! diverse customers weekly from a wide trade area.\nOther tenants include: Popeye's Chicken; Cricket Wireless; Super laundry; Dollars Deals and many others.\nThe property is located in a prime retail location on Route 59, between Central Avenue and North Main Street [Route 45]. Both north Main Street and Central Avenue are major north / south roads which provide service to the surrounding residential neighborhoods. Route 59 is a Major East/west thoroughfare with an abundance of retailers and other commercial buildings. The Traffic count passing by is over 35,000 cars per day. The property runs from one corner to another and has traffic lights on each corner. There is also very easy access, with entrances on all three sides."", '.')",41.107791,-74.042261,Spring Valley,10977
284,"3631 3643 Hill Boulevard, Jefferson Valley, NY 10535",3600,25.0,"('Located across from JV Mall in Yortown and above tenants that garner high traffic the building is ideal for a retail or office tenant.Located at intersection of Rt 6 and Hill Blvd', 'd')",41.330356,-73.8025196,Jefferson Valley,10535
285,"879 885 Yonkers Avenue, Yonkers, NY 10704",1100,54.55,,40.9195856,-73.8604882,Yonkers,10704
286,"1314 Avenue U, Brooklyn, NY 11229",1200,49.0,"('Prime retail strip Avenue U &amp; east 15 street- steps away from train &amp; bus stop - 20 ft wide frontage 1200 sq ft + full basement. Great for any use!', '!')",40.5985051,-73.9577706,Brooklyn,11229
287,"2263 86th Street, Brooklyn, NY 11214",1800,53.33,"('Location Location Location.......Prime Bensonhurst 86 Street (Under the L) Between Bay Parkway &amp; 23 Avenue Street level Storefront For Rent approx 1,400 sq ft Plus Full Basement &amp; 10 Ft ceiling! Can be rented with additional space 1,400 sq ft with basement next door neighbor equal 2,800 sq ft!!! Next to D Bay Parkway train station, Buses, Shopping &amp; millions of foot traffic &amp; vehicle traffic. 25 ft frontage with awning &amp; extended sidewalk (easement to utilize sidewalk in front of store) Many neighboring national retail such as Citibank, TD bank, Dunkin Donut, Petland, Burger King, Gap &amp; much more! Will NOT last!', '!')",40.6011852,-73.9919822,Brooklyn,11214
288,"4013 82nd Street, Elmhurst, NY 11373",1500,104.0,"(""20' X 80' 3 Story Mixed-Use Attached Building with Full Basement. Former tenant was in the space for 35 years. Some equipment remains."", '.')",40.7472129,-73.8836393,Elmhurst,11373
289,"348 13th Street, Brooklyn, NY 11215",5300,40.0,"('James Monteleone, All Points Real Estate, is pleased to offer this prime medical space in Park Slope, just a few blocks from Methodist Hospital. It features 7 exam rooms, 2 operating rooms, bed section, nursing station, kitchen, waiting room, and offices.  There are also 3 bathrooms.  \nThe space can used for any type business, including school, daycare, non profit.', '.')",40.6650208,-73.9852288,Brooklyn,11215
290,"2275 W Ridge Road, Rochester, NY 14626",1540,19.0,"('Freestanding building in front of Greece Ridge Mall adjacent to Panera Bread.', '.')",43.2084106,-77.6887097,Rochester,14626
291,"313 Knickerbocker Avenue, Brooklyn, NY 11237",1500,56.0,"('1400SF Storefront Available at 313 Knickerbocker Ave\\\n\nSpace Features 1400SF Ground Level Space, Large Basement, Excellent Corner Glass Frontage \n\nIdeal for restaurant or bar usage. Easy ventilation is accessible through the rear of the space\nOther usages considered - please contact with any business / usage type\n__', '_')",40.7016384,-73.9228459,Brooklyn,11237
292,"105 Wilson Avenue, Brooklyn, NY 11237",2200,27.27,"('Description\nSpecifications: \n\n***Beer and Wine License Only****\n-Approx. 25 Ft of frontage\n-15 ft ceilings\n-Approx. 25 X 90 rectangular box\n-Approx. 1200 sq. feet of basement storage\n-Approx. 200 Sq. Ft. backyard\n\nFeatures:\n\n-Large, adaptable storefront with motorized gate\n-Interior basement access\n-Double-wide street hatch access to basement\n-Single story rear for easy kitchen installation\n-Electrical and plumbing already in place\n-Large basement with very high ceilings\n-200 Square foot backyard\n\nProposed uses:\n\n-Event Space\n-Music Venue\n-Office Space\n-Beer Garden\n-Restaurant\n-Dry Retail\n-Fashion Retailer\n-Medical Space\n-Bike Shop\n-Veterinarian\n-Furniture Store', 'e')",40.701638,-73.926832,Brooklyn,11237
293,"25 Van Wagner Road, Poughkeepsie, NY 12603",3800,18.0,"('First Class New Construction with 3,800 square feet commercial retail space available Spring/Summer 2016. Available space is divisible to 1,000 Sq.Ft. Perfect for cafe, bakery, deli, coffee shop, restaurant, bar, you name it. Space for future expansion\nCustom Interior/Designed to Suit\nAmple Private On-Site Parking\nAdjacent to Arlington/Vassar College Neighborhood\nProfessionally Managed\nSet within a landscaped campus\nOutdoor Sculpture Court and Tenant Garden\nLocated within Designated NYS Empire Zone\nRedevelopment of entire Urban Block\nEnvironmentally forward and efficient design', 'n')",41.698488,-73.899443,Poughkeepsie,12603
294,"3538 Junction Boulevard, Corona, NY 11368",4075,75.0,"('Just Listed! \n\nAmazing opportunity to take advantage of the growing Jackson Heights Retail demand! \nOpen your new location in the busiest area of Jackson Heights. All uses will be considered!', '!')",40.7521232,-73.871443,Corona,11368
295,"14 Saratoga Road, Glenville, NY 12302",1000,7.58,"('Fantastic road frontage with ample parking \nHighly visible signage', 'e')",42.85017,-73.9421095,Glenville,12302
296,"3005 Monroe Avenue, Rochester, NY 14618",725,30.0,"(""Four newly constructed (2006) canal style buildings just east of Monroe Clover Plaza on Monroe Avenue. Plaza includes Monroe's Restaurant (former historic Spring House), People's Pottery and other fine retail and offices. Best demographics in Monroe County with 35,503 cars daily."", '.')",43.1093035,-77.5453912,Rochester,14618
297,"1955 South Road, Poughkeepsie, NY 12601",3800,19.5,"(""Shares an entrance with the Poughkeepsie Galleria Mall. Anchored by Mother Earth's Organic grocery. Other tenants include AutoZone, Subway, GamesStop and Bonsai Sushi.  Newly signed Tenants are Tilted Kilt and Sprint Wireless."", '.')",41.6225159,-73.918593,Poughkeepsie,12601
298,"1 New Paltz Plaza, New Paltz, NY 12561",5000,13.0,"('Rare opportunity at the strongest shopping center in New Paltz. New Paltz Plaza has the largest grocer (Now Tops Markets) and only Movie Theater in town. The summer travelers and students from SUNY New Paltz keep this site bustling all year long.', '.')",41.742938,-74.0693503,New Paltz,12561
299,"1064 Elmwood Avenue, Buffalo, NY 14222",1050,28.57,"('Space Size:\t\t1050 sq. ft. \n\nRent:\t\t\t$2500 month plus real estate taxes\nFeatures:\n"" \tSuitable for Retail or Restaurant\n"" \tHas been a liquor store for over 50 years, closest liquor store to Buffalo State College\n"" \tShelving and display coolers included\n"" \t700 sq. ft. basement for storage\n"" \tPlenty of foot traffic in city, retail area in Buffalo', 'o')",42.926152,-78.877318,Buffalo,14222
300,"1633 Hertel Avenue, Buffalo, NY 14216",1250,10.0,"('Fantastic Retail/Office Lease Opportunity Located in Densely Populated North Buffalo Neighborhood\n\nSpace Sizes:\t1250 sq. ft. (Suite A)\n \nFeatures:\n"" \tHigh visibility\n"" \tPedestrian walkable community\n"" \tBuild to suit\n"" \tClose to many Restaurants, Shops and Community assets\n"" \tGreat for Accountants, Financial Services, Insurance Agencies or Retail', 'l')",42.9474381,-78.8479964,Buffalo,14216
301,"3795 Crompond Road, Cortlandt Manor, NY 10567",7140,25.0,"('7,140sf free standing medical building\n Plug &amp; Play  fit out\nRecent construction - Built in 2012\nNo Loss Factor!\nState of the art medical build out with infrastructure for linear accelerator vault, MRI, CT Scan, &amp; exam rooms\nAmple amount of parking\nTraffic count of 12,000 cars per day', 'y')",41.290555,-73.849289,Cortlandt Manor,10567
302,"1 Depot Plaza, Mamaroneck, NY 10543",2275,26.5,"(""2,275sf of Ground floor RETAIL space available \nFormer Legume Gourmet Market space\nExcellent Frontage &amp; Visibility\nCo-Tenant: YogaSpark, Minuteman Press, &amp;\nSchool of Rock\nNeighboring Retailers: Citibank, CVS, Chase Bank, Verizon Wireless, Sal' s Pizza, Edible Arrangements, TD Bank, Metro PCS, Trustco Bank, Weight\nWatchers, Wells Fargo, Dunkin' Donuts, Smashburger\n&amp; more"", 'e')",40.9340432,-73.7585425,Mamaroneck,10543
303,"5 N Greenwich Road, Armonk, NY 10504",10000,14.0,"('10,000sf Office/Flex Building\nLand Area +/- 1.792 acres   Opportunity to expand building, parking, etc\nPBO Zone - Professional Business Office zone\n36 parking spaces\nProperty taxes +/- $39,000 yearly\nShort drive to downtown Armonk.  Across the street from the Moderne Barn Restaurant\nNothing like this on the Market!!!!', '!')",41.124868,-73.697304,Armonk,10504
304,"255 Washington Street, Mount Vernon, NY 10553",36000,12.5,"(""Single story warehouse consisting of +/- 36,000 sf\n3 docks, 1 drive in &amp; 1 ramp for fork lift loading\n+/-13'  ceiling heights\nLandlord will Divide the Space to 10,000 sf!\n+/- 2,000sf of existing office space\n4,000 amps of Power/Electricity\n+/- 20 onsite parking spots \nFormer HBO / Warner Bros. filming space\nLarge Capital Improvements being made!"", '!')",40.910903,-73.8260274,Mount Vernon,10553
305,"18 S Main Street, Port Chester, NY 10573",14000,10.0,"('3 story retail / flex property consisting of +/- 14,000sf (Street retail 2,400sf, second floor 2,400sf, third floor 5,800sf, loft 3,400sf). Each floor can be made available for lease\nRear of building (Third Floor) 19 East Broadway has an interior loading dock. Roughly 3,500sf is ON-GRADE and you can easily create indoor parking\nLarge municipal parking lot less than 100 feet away\nProperty taxes $28,000 yearly\nElevator and interior staircase from retail floor to third floor\nIdeal for an owner user for retail, office, storage, etc. Huge potential for a residential development!!!!\nNeighboring retailers include Costco, Walgreens, Loews Cineplex, Marshalls, Petco, and many more', 'e')",40.999837,-73.664725,Port Chester,10573
306,"3960 Merritt Avenue, Bronx, NY 10466",25000,15.0,"(""Single story Flex Warehouse consisting of +/- 25,000sf (21,000sf warehouse / 4,000sf office)\n15' - 16'  ceiling heights\n3 Drive in' s (2 oversized &amp; 1 forklift)\n3 Dock platform that can accommodate trailers\n+/- 8,000sf of land for staging &amp; loading \nHeavy power, utilities, concrete floor &amp; existing crane\nAmple onsite parking and street parking for +/- 40 cars\nClass  A  existing office space\nRare opportunity to own or lease a warehouse in the Bronx\nFully sprinkler, gas heat &amp; existing FLOOR DRAINS"", 'S')",40.890791,-73.828654,Bronx,10466
307,"3 Brandreth Street, Ossining, NY 10562",5000,7.68,"(""2 story warehouse consisting of +/- 5,000sf\n(4,500sf ground floor / 500sf second floor)\n1 drive in &amp; 1 tailboard height (12'  wide x 14'  high)\n+/- 2,500sf YARD!\nAnnual Property Taxes  +/- $10,000\nCity water &amp; Sewer, Sprinkler System\nPerfect for a contractor, landscaper, etc."", '.')",41.16173,-73.863883,Ossining,10562
308,"336 W 46th Street, New York, NY 10036",2000,120.0,"(""This subject property is 20' wide and 100' deep, Approximately 1,500SF+ 500sf Garden + 1,000sf Basement ."", '.')",40.7602219,-73.9894075,New York,10036
309,"599 Avenue Of The Americas, New York, NY 10011",2400,90.0,"('This retail store featuring approx. 2400 sf, with 12 feet frontage with high ceiling. On the ground floor there is 1000 Sf of open space and the basement including 1400 sf\n\xc2\xb7\xc3\xb0 Gas Vent / Ac / Walking box in place', 'e')",40.7395704,-73.9955196,New York,10011
310,"191 W Main Street, Webster, NY 14580",1444,10.0,"('Retail/office space with excellent access and visibility.  The site is located at signalized intersection and provides convenient parking.', '.')",43.2116518,-77.4385679,Webster,14580
311,"203 N 8th Street, Brooklyn, NY 11211",1800,70.0,"(""1,800 sq. ft. commercial retail space \n20' ft. of frontage on North 8th St.\nSpace comes with a skylight in the back."", '.')",40.717545,-73.955322,Brooklyn,11211
312,"57 Meserole Avenue, Brooklyn, NY 11222",10000,40.0,"(""10,000 sq. ft. of retail space available in Greenpoint. \nWide-open space with endless possibilities.\nDomed ceiling. Height ranges from 14' - 23' ft."", '.')",40.7265382,-73.9550823,Brooklyn,11222
313,"1516 Route 55, Lagrangeville, NY 12540",3000,18.5,"(""For Lease \nCountry Commons \nNYS Route 55 @ NYS Route 82 SEC\n\nRetail / Office Storefronts\nAvailable suites can be rented together or separately \n\nLease Price:\n$18.50 Per SF\n\nCo-Tenants:\nMid-Hudson Valley Federal Credit Union\nLaGrange Pharmacy\nHallmark\nNB Cleaners\nCarlo's Trattoria Restaurant &amp; Bar\nPizza Express\nChop Stix Chinese Food\nRosa Deli &amp; Catering\nShear Unisex Chinese Food\nHollywood Nail Spa\nWine &amp; Liquor \nSmokes 4 Less"", 's')",41.6704847,-73.7629316,Lagrangeville,12540
314,"68 W Cedar Street, Poughkeepsie, NY 12601",1350,24.0,"('For Lease\n2 Story Professional Medical / Office Building \nMidHudson Regional Hospital of Westchester Center Campus\n\nCo-Tenant: Dr. Keith Lescale, Maternal-Fetal Medicine\n\nAvailable Square Footage:\n1,350 +/- SF,  Upper Level \n1,335 +/- SF, Upper Level \n1,255 +/- SF, Upper Level\nSubject to Further Confirmation\n\nParking:\n19 Cars, Street Level\n23 Cars, Upper Level\n42 Cars, Total               \n\nUtilities: \nWater / Sewer / Gas\n\nLease Price: \n$24.00 Per SF, Triple Net\nPlus Utilities &amp; Interior Office Cleaning', 'g')",41.7196907,-73.9278379,Poughkeepsie,12601
315,"119 E Sunrise Highway, Lindenhurst, NY 11757",4850,22.0,"('Commercial zoning. Multi-tenanted.', '.')",40.7019448,-73.3767078,Lindenhurst,11757
316,"904 Elmgrove Road, Rochester, NY 14624",5750,11.0,"('Elmgrove Crossings Retail buildings are single story masonry and steel frame construction; 5"" reinforced concrete floors; insulated (R-20) membrane roofing system with 10 year guarantee; 16\' clear span ceiling height under bar joists; tinted insulated windows with thermally broken frames; 200 amp+, 3-phase electrical service, grade level rear door access.\n\nEach unit is individually identified with a separate entrance and pair of 3\'0"" x 7\'0"" aluminum storefront doors at main entry with full glass panel.\n\nLandlord Building Standard Work Letter Available Upon Request', 't')",43.1531389,-77.7310263,Rochester,14624
317,"910 Elmgrove Road, Rochester, NY 14624",2032,11.0,"('Elmgrove Crossings Retail buildings are constructed of single story masonry and steel frame construction; 5"" reinforced concrete floors; insulated (R-20) membrane roofing system with 10 year guarantee; 16\' clear span ceiling height under bar joists; tinted insulated windows with thermally broken frames; 200 amp+, 3-phase electrical service, grade level rear door access.', '.')",43.1525125,-77.7317467,Rochester,14624
318,"269 Withers Street, Brooklyn, NY 11211",3000,36.0,"('Spectacular triplex in a brand new loft building in the heart of Williamsburg. Would make an amazing restaurant bar/club.', '.')",40.71793,-73.940835,Brooklyn,11211
319,"20 Clinton Street, New York, NY 10002",1400,111.43,"('25 ft of Frontage\nRestaurant Ok\nNew A/C\nRenovated perfect white box', 'x')",40.7206192,-73.9840289,New York,10002
320,"2315 Astoria Boulevard, Astoria, NY 11102",7500,24.0,"('1st floor, full glass windows in the front of the building. Brand New contraction. 37 apartments on top of it. year built 2016. Mix use building', 'g')",40.771876,-73.923659,Astoria,11102
321,"482 Kings Highway, Brooklyn, NY 11223",900,48.0,"('Great High Traffic Retail Next to Hot Corner , Train Station and Dunkin Donuts on other side. Just renovated ready to move-in  with  basement for storage!! Fit any Retail, Medical, Professional Office. Long Lease available. Very large area for a business sign. Priced very reasonable for a quick deal!!', '!')",40.6040338,-73.9718289,Brooklyn,11223
322,"145 Smith Street, Brooklyn, NY 11201",1000,120.0,"('Location....Prime Smith Street &amp; Dean Street Store FOR RENT 1,000 sq ft plus private backyard &amp; full basement! 20 ft signage exposure! Prior pet store. High 20 ft ceiling! Right next to subway entrance &amp; bus stop! Immediate occupancy! Great exposure, on retail strip name best place to shop &amp; stroll 2013!Owner is motivated! Will accept restaurant &amp; other business! call for details! Will not last!', '!')",40.6868181,-73.9901934,Brooklyn,11201
323,"41 Mineola Boulevard, Mineola, NY 11501",2000,25.0,"('Very high traffic and visibility.  Downtown revitalization is bringing 1500 new luxury rental apartments to Village of Mineola.  The space has an additional 600 SF front patio included.  Space is suitable for retail or office.', '.')",40.739279,-73.639685,Mineola,11501
324,"364 Warren Street, Hudson, NY 12534",5000,17.0,"(""Hudson NY is the place to live''; we have great music, antiques, renowned Art galleries and elegant restaurants. These key industries have made Hudson the 4th busiest train destination in the north east corridor. In the heart of Hudson is 364 Warren Street a 5000 sq' COMMERCIAL space for lease. This property is very special with a front court yard and located on a highly desirable area of Warren Street, bring your ideas and be a part of our unique city of Hudson! This is a must see for anyone wanting to bring something special to Hudson.  Call for a private showing and learn more about this unique property!"", '!')",42.2515666,-73.7892612,Hudson,12534
325,"264 Flatbush Avenue, Brooklyn, NY 11217",1930,40.41,"('Prime Location This newly renovated commercial space was previously a Gym .  Owner is open to different business upon approval.  The basement is also included totally renovated and approx the size of the store front. Must see to appreciate. Owner pays listing agent and tenant pays buyer agent.', '.')",40.6791571,-73.9742704,Brooklyn,11217
326,"1278 Route 104, Mexico, NY 13114",3000,20.0,"('NOTE: This is currently operated as an absentee owner business. \n\nAverage Monthly Gas Volume: 55,000 gals @ .04cents comm = $2,200.\n\nAverage Monthly C-Store Gross Sales: $80,000+ @ 29-30% margin = $23,300 \n\nAverage Monthly Lotto Income: $2,000.+\n\nGallons of Gas Sold Per Year: 660,000+/- gallons \nMonthly Current Triple Net Rent: $5,800 Triple Net (rent = $5,000.00 for 18 years + real estate taxes and Insurance = $800.) \n\nHours of Operation: 5:00AM to 10:00PM \nHere are the basic details: \n\n$275,000 - for the Business \n$20,000 - Security deposit to Distributor for Gas in the Ground\n$45,000+/- for Convenience Store inventory \n\nGross Income is approximately $27,500.+/- per month or $330,000 per year \n\nHere are the monthly expenses: \n\n$ 5,800 - Rent - Triple Net - includes real estate taxes and insurance \n$ 1,500 - Electricity, Heat, trash, phone and maintenance \n$ 0 - Credit Card Expenses are paid by the distributor \n$ 7,500 - Employees (1 Full Time Manager - 6 Part Time\n$ 1,700 - Sales tax, Misc expenses\n-$ 16,500 - TOTAL EXPENSES\n\n$11,000+/- MONTHLY NET INCOME', 'E')",43.4618394,-76.2452094,Mexico,13114
327,"1278 Route 104, Mexico, NY 13114",3000,20.04,"('NOTE: This is currently operated as an absentee owner business. \n\nAverage Monthly Gas Volume: 55,000 gals @ .04cents comm = $2,200.\n\nAverage Monthly C-Store Gross Sales: $80,000+ @ 29-30% margin = $23,300 \n\nAverage Monthly Lotto Income: $2,000.+\n\nGallons of Gas Sold Per Year: 660,000+/- gallons \nMonthly Current Triple Net Rent: $5,800 Triple Net (rent = $5,000.00 for 18 years + real estate taxes and Insurance = $800.) \n\nHours of Operation: 5:00AM to 10:00PM \nHere are the basic details: \n\n$275,000 - for the Business \n$20,000 - Security deposit to Distributor for Gas in the Ground\n$45,000+/- for Convenience Store inventory \n\nGross Income is approximately $27,500.+/- per month or $330,000 per year \n\nHere are the monthly expenses: \n\n$ 5,800 - Rent - Triple Net - includes real estate taxes and insurance \n$ 1,500 - Electricity, Heat, trash, phone and maintenance \n$ 0 - Credit Card Expenses are paid by the distributor \n$ 7,500 - Employees (1 Full Time Manager - 6 Part Time\n$ 1,700 - Sales tax, Misc expenses\n-$ 16,500 - TOTAL EXPENSES\n\n$11,000+/- MONTHLY NET INCOME', 'E')",43.4618394,-76.2452094,Mexico,13114
328,"1350 E Gun Hill Road, Bronx, NY 10469",700,68.57,"('Prime Corner Space! Great location 1 Block from Subway.Amazing storefront with excellent signage opportunity. Heavy pedestrian and vehicular traffic seven days a week.', '.')",40.870282,-73.8463609,Bronx,10469
329,"1277 3rd Avenue, New York, NY 10021",1800,213.33,"('Prime Retail Space- 20 Foot frontage with full clean basement', 't')",40.7706002,-73.9596162,New York,10021
330,"640 W Merrick Road, Valley Stream, NY 11580",2000,21.0,"('Perfect retail space on busy Merrick Rd. Suites are built to suit.', '.')",40.6708921,-73.7197269,Valley Stream,11580
331,"640 W Merrick Road, Valley Stream, NY 11580",1200,21.0,"('This is a garage/storage or office space in the rear of the building. It has a bathroom also.', '.')",40.6708921,-73.7197269,Valley Stream,11580
332,"231 E 5th Street, New York, NY 10003",525,274.29,,40.7272486,-73.9896589,New York,10003
333,"136 10th Avenue, New York, NY 10011",3500,95.0,,40.7448115,-74.0058936,New York,10011
334,"721 787 Hillside Avenue, New Hyde Park, NY 11040",1050,46.29,,40.7524333,-73.6660562,New Hyde Park,11040
335,"1524 1544 Boone Avenue, Bronx, NY 10460",4146,29.5,"('Compass Residences will be the first two buildings within the 17-acres West Farms Redevelopment Plan. Including a mix of studio, one, two, and three bedrooms, the 3- to 15-story complex will be organized around a central courtyard. Generously sized windows will provide abundant daylight in apartments and open up the facades. Retail spaces provide a mixed-use development to serve the community. A variety of colors and patterns distinguish the buildings as separate structures and emphasize the dynamic massing of the project. Building heights vary creating visual interest and an urban scale. The project will emphasize sustainability and is being designed to meet the Enterprise Green Communities criteria.', '.')",40.832906,-73.884755,Bronx,10460
336,"1351 Prospect Avenue, Bronx, NY 10459",800,43.5,,40.8301603,-73.8975718,Bronx,10459
337,"42 Water Street, New York, NY 10004",1250,43.2,,40.7035612,-74.0101792,New York,10004
338,"2345 Hollers Avenue, Bronx, NY 10475",6500,14.58,"(""Corner property. Now being renovated.  Peartree and Hollers directly in front of exit for I-95 south bound Conner St.  Two Drive-in doors, one on each street.  18' ceiling. Two drive in doors on two streets. 3500 of high ceiling warehouse and 3000 sq ft of office with HVAC.  1500 sq ft of mezzanine office.  Three separate bathrooms.  Building being nicely renovated now, inside and out."", '.')",40.885219,-73.825553,Bronx,10475
339,"2014 3rd Avenue, New York, NY 10029",2600,64.62,"('Great visibility with approx. 40 ft frontage on 3rd Avenue. All-glass storefront with a total of 2,600 RSF. \nThis space can be leased as one store (preferred) or as two individual stores of 1,300 RSF each.  2 x 400 SF storage space in the basement. HVAC in place.  Real estate taxes included. Utilities direct. All uses considered. Lease term flexible, 5-year+ preferred. Personal guaranty required.', '.')",40.7946426,-73.9427457,New York,10029
340,"745 New Lots Avenue, Brooklyn, NY 11207",2500,19.2,"('Huge 2500 Sq 2nd Floor Commercial space for lease located next to New Lots train Station. This is a great opportunity, can be any type of business except for food. Can even be a medical office. The owner is willing to put up a handicap lift.', '.')",40.6660891,-73.8835758,Brooklyn,11207
341,"1172 Victory Boulevard, Staten Island, NY 10301",8000,50.0,"('Corner commercial property at a traffic light on the corner of Victory Blvd and Clove Rd. The property is currently being renovated with new storefronts, facades, and increased parking. National tenants occupying all opposing corners. Highly trafficked location with MTA bus stop in front. Many different retail possibilities.', '.')",40.6164323,-74.1030281,Staten Island,10301
342,"273 Main Street, Port Washington, NY 11050",2000,28.0,"('Top notch Athletic Facility- TURN KEY OPPORTUNITY! $50 K Key money -- State of the Art Training space; Equipment, office &amp; Sales area.Core Business encloses; membership, private training / group fitness &amp; physical evaluations. Health &amp; Wellness businesses are trending the hottest industries for growth in the next 5 years. 100 K build-out with high end equipment, office, kitchen area, video, lighting &amp; sound all ready for a entrepreneur to step in and take this business to the next level.', '.')",40.832502,-73.697904,Port Washington,11050
343,"537 Park Place, Brooklyn, NY 11238",500,66.0,"('Brand New Retail Storefront Available at 537 Park Pl\n\nThis Duplexed Storefront Features Glass Frontage, HVAC Units In-Place, Exposed Brick Wall, ADA Compliant Bathroom .. Move-In Ready! \nApprox 500SF Includes Both Levels \n\nGreat for Office Usage, Retail, Boutiques, Barber / Salon / Nail Salon, Dry Cleaner, Cafe / Coffee Shop. All Usages Considered!', '!')",40.675103,-73.960215,Brooklyn,11238
344,"5308 5316 W Genesee Street, Camillus, NY 13031",2300,24.0,"('2,300 SF Endcap', 'p')",43.0415813,-76.2711446,Camillus,13031
345,"727 Franklin Avenue, Brooklyn, NY 11238",800,114.99,"('Prime Franklin Ave Turn Key Restaurant\n\nDescription: - Restaurant space for sale - Approximately 16 X 50 ft - Full commercial Electric and Gas lines in place \n---Full restuarant with equpiment already in place, \n---Key money is being requested, exact numbers upon request', 't')",40.6737147,-73.9566655,Brooklyn,11238
346,"797 Franklin Avenue, Brooklyn, NY 11238",1800,66.66,"('Description:\n- Former retail space\n\n---Price is negotiable, no reasonable offer will be refused!--\n\nSpecifications: \n-Approx. 20 Ft of frontage\n-Approx. 20 X 90 rectangular box\n-Approx. 1200 sq ft basement\n\nFeatures:\n-Multiple outlets and plumbing fixtures \n-Bathroom in place\n-Tremendous Visibility\n\nProposed uses:\n-Office Space\n-Dry Retail\n-Fashion Retailer', 'r')",40.67165,-73.957293,Brooklyn,11238
347,"169 Bowery, New York, NY 10002",3500,68.57,"('Brand new Retail/Gallery/Gym space. 2,500 ft\xc2\xb2 ground floor and 1,000 ft\xc2\xb2 basement. No elevator.', '.')",40.71986,-73.993773,New York,10002
348,"44 Hester Street, New York, NY 10002",2500,33.6,"('Fantastic Retail / Office Space / Food (no cooking)\n20 Feet Frontage \n1500 SF Ground Floor\n1000 SF Basement connected front and back\nSmall Outdoor Space\nPrime Lower East Side\nHuge Foot Traffic\nTotal $7,000/month', 'h')",40.7155026,-73.9902224,New York,10002
349,"31 Pullman Avenue, Rochester, NY 14615",2250,11.2,"('The three newly renovated storefronts can remain separate or can be combined for a total of over 2,200 sq. ft. Each suite has been finished with new flooring, fresh paint and its own private bath. Multiple allowable uses include small offices, barbershops, clothing stores and restaurant/takeout establishments.  On street parking only.', '.')",43.194717,-77.630326,Rochester,14615
350,"1698 Boston Road, Bronx, NY 10460",5500,45.0,"('Corner commercial NNN lease available located at the intersection of Boston Rd., Southern Boulevard and 174th St with 15 YEAR TAX ABATEMENT. Directly adjacent the 174th St./Crotona Park IRT line stop (#2/#5) and in front of the Bx 19 bus line stop. HEAVY FOOT &amp; AUTO TRAFFIC. Present plans include approximately 4,200 sq. ft. of main floor space with a 1,300 sq. ft. of mezzanine. This will be a very attractive spot. A single national tenant is preferred but all options will be considered. Great for retail, medical, supermarket, restaurant, offices or charter school. This property is surrounded by schools, other national tenants (close proximity to the New Horizon Shopping Mall) and massive new development with large residential components. Come participate in a community going though massive growth with an exponential need for consumer products and professional services. (Zoning C2-4 / R7-1)', ')')",40.8366929,-73.888396,Bronx,10460
