,age,type_employer,education,education_num,marital,occupation,relationship,race,sex,capital_gain,capital_loss,hr_per_week,country,income
2825,39,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,30,United-States,0
30024,19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
25177,33,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,0
11344,37,Self-emp-not-inc,HS-grad,9,Divorced,Farming-fishing,Not-in-family,White,Male,27828,0,40,United-States,1
12731,44,Self-emp-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
16994,64,Private,HS-grad,9,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,0
17848,26,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States,0
17817,58,Private,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0,0,35,United-States,0
21523,35,Private,11th,7,Divorced,Machine-op-inspct,Unmarried,White,Female,0,0,40,United-States,0
26930,41,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,1
5715,46,Private,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
18278,90,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,20,?,0
24736,60,?,Bachelors,13,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,0,2163,25,South,0
6399,28,Private,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,0
28234,29,Self-emp-not-inc,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,1
6951,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,0
6065,42,Self-emp-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,0
2718,42,Private,Bachelors,13,Divorced,Sales,Unmarried,White,Male,0,0,45,?,0
24962,55,Private,Masters,14,Divorced,Exec-managerial,Unmarried,White,Male,0,0,40,United-States,1
30091,45,Private,Masters,14,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,18,United-States,1
30199,23,Private,Assoc-acdm,12,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
13616,17,Private,11th,7,Never-married,Sales,Unmarried,White,Female,0,0,12,Poland,0
12155,37,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,35,United-States,0
8902,42,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,40,United-States,0
10056,39,State-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
22690,26,Private,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
2872,47,Local-gov,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,60,United-States,1
10845,27,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,20,United-States,0
13394,23,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,0
5142,58,Private,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,Canada,0
19863,34,Self-emp-not-inc,Masters,14,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,60,United-States,0
2264,31,Private,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,0
13403,27,Private,Bachelors,13,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,35,United-States,0
24949,47,Private,HS-grad,9,Separated,Sales,Not-in-family,White,Female,0,0,52,United-States,0
30962,26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,1848,60,United-States,1
7299,21,Self-emp-not-inc,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,30,United-States,0
17419,35,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
27765,38,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,99,United-States,0
24486,63,?,9th,5,Married-civ-spouse,?,Husband,White,Male,5178,0,40,United-States,1
16718,31,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,White,Female,0,0,40,United-States,0
13270,35,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
10584,43,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
22346,68,Private,5th-6th,3,Married-spouse-absent,Sales,Not-in-family,White,Male,0,0,22,United-States,0
27965,30,Private,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,0
27035,37,Private,Bachelors,13,Never-married,Transport-moving,Not-in-family,White,Male,0,0,46,United-States,0
1495,27,Private,HS-grad,9,Never-married,Handlers-cleaners,Other-relative,Amer-Indian-Eskimo,Male,0,0,40,United-States,0
2275,48,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
15536,68,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,15,United-States,0
5042,23,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
1579,32,Local-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,50,United-States,0
12234,22,State-gov,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
1948,43,State-gov,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
22656,38,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
14200,55,Private,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
2526,43,Private,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,0
29164,51,Federal-gov,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,8,United-States,0
20058,57,Local-gov,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
27139,45,Self-emp-not-inc,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,50,United-States,0
17752,22,Private,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,0
4914,23,Private,Bachelors,13,Never-married,Handlers-cleaners,Other-relative,White,Female,0,0,40,Cuba,0
30613,37,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
6993,31,Private,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,4386,0,45,United-States,1
31292,25,Private,Some-college,10,Married-civ-spouse,Other-service,Wife,White,Female,0,0,60,United-States,0
2325,63,Federal-gov,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
3585,27,Private,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,65,United-States,1
18747,43,Private,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
988,47,Private,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
4913,38,Private,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,0
15416,46,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
32026,50,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
12482,44,Private,HS-grad,9,Never-married,Other-service,Other-relative,Black,Male,0,0,32,United-States,0
8393,30,Private,Assoc-acdm,12,Married-civ-spouse,Transport-moving,Wife,White,Female,0,1485,37,United-States,1
8542,42,Local-gov,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,1902,40,United-States,1
8965,22,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,30,United-States,0
32523,58,Private,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
26712,26,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
117,56,Self-emp-inc,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,0
21433,39,Federal-gov,HS-grad,9,Never-married,Exec-managerial,Unmarried,White,Female,0,0,45,United-States,0
17448,21,Private,Some-college,10,Never-married,Handlers-cleaners,Own-child,Asian-Pac-Islander,Male,0,0,40,Philippines,0
28103,24,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,60,United-States,0
10697,31,Private,12th,8,Separated,Transport-moving,Unmarried,Black,Male,0,0,40,United-States,0
28701,40,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
4614,77,?,9th,5,Married-civ-spouse,?,Husband,Black,Male,0,0,40,United-States,0
10127,19,?,Some-college,10,Never-married,?,Own-child,White,Male,0,0,84,United-States,0
18925,19,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
24608,38,Private,11th,7,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,32,United-States,0
7010,40,Private,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,12,United-States,0
23447,28,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,1
6759,47,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
30714,56,?,Some-college,10,Divorced,?,Not-in-family,White,Female,0,0,20,United-States,0
2561,39,Private,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,20,United-States,1
22244,35,Private,12th,8,Never-married,Sales,Not-in-family,Black,Female,0,0,40,United-States,0
3725,38,Private,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,60,United-States,1
21057,64,Local-gov,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,99,United-States,0
7033,27,Private,7th-8th,4,Divorced,Machine-op-inspct,Unmarried,White,Male,0,974,40,United-States,0
17516,41,Private,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,0
12960,18,Private,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,16,?,0
15894,62,Federal-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,38,United-States,0
24208,39,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1628,48,United-States,0
26478,36,Local-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1887,50,United-States,1
3111,24,Federal-gov,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,0
14745,50,Private,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,35,United-States,0
27316,27,Private,Bachelors,13,Never-married,Adm-clerical,Own-child,Asian-Pac-Islander,Female,0,0,50,Laos,0
28509,35,Private,Bachelors,13,Divorced,Sales,Not-in-family,White,Male,0,0,40,United-States,0
23263,45,Private,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,7298,0,40,United-States,1
3177,49,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,40,United-States,1
30456,32,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,Philippines,0
32173,36,Private,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,37,United-States,0
26248,45,Private,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,7298,0,50,United-States,1
17151,36,Private,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,45,El-Salvador,0
22284,59,Private,Some-college,10,Separated,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,0
1929,20,Private,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
32236,47,Private,Assoc-acdm,12,Divorced,Sales,Own-child,White,Male,0,0,44,United-States,0
29717,47,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
8947,51,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States,0
29860,52,Local-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
22395,36,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
21848,19,?,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,30,United-States,0
17910,50,Private,5th-6th,3,Divorced,Other-service,Not-in-family,White,Male,0,0,37,Cuba,0
24196,29,?,Some-college,10,Divorced,?,Own-child,Black,Male,0,0,40,United-States,0
17139,21,Private,9th,5,Never-married,Craft-repair,Own-child,White,Male,0,0,30,El-Salvador,0
20772,23,Private,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,0
2865,29,Private,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,0,0,25,United-States,0
18390,17,Local-gov,11th,7,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,0
6751,34,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,Iran,0
12581,65,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,34,United-States,0
13579,22,Private,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,0
5566,18,?,10th,6,Never-married,?,Other-relative,White,Female,0,0,30,United-States,0
6133,44,Private,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,70,United-States,0
14992,39,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3103,0,60,United-States,1
23952,29,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,45,United-States,0
20942,19,?,Some-college,10,Never-married,?,Own-child,White,Female,0,0,20,United-States,0
16185,34,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States,0
27343,63,Private,10th,6,Separated,Machine-op-inspct,Not-in-family,Black,Male,0,0,40,United-States,0
19745,57,Private,HS-grad,9,Separated,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,35,United-States,0
23976,46,Private,Bachelors,13,Divorced,Sales,Unmarried,Black,Female,0,0,35,United-States,1
11037,24,Local-gov,HS-grad,9,Never-married,Tech-support,Not-in-family,White,Female,0,0,40,United-States,0
31963,27,Private,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,0,0,40,United-States,0
27381,43,Private,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,35,United-States,0
29554,42,Private,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,1
21978,24,Private,10th,6,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,Mexico,0
18474,54,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,3103,0,40,United-States,1
26970,19,State-gov,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,10,United-States,0
23561,45,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
25094,27,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
9529,46,Private,HS-grad,9,Never-married,Craft-repair,Unmarried,White,Male,0,0,40,United-States,0
14535,21,?,HS-grad,9,Never-married,?,Unmarried,Black,Female,0,0,25,United-States,0
8865,33,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
3822,31,Private,Assoc-voc,11,Married-civ-spouse,Other-service,Wife,Amer-Indian-Eskimo,Female,0,0,24,Mexico,0
3146,41,Private,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,0
15826,32,Private,12th,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
4036,34,Self-emp-not-inc,Prof-school,15,Separated,Prof-specialty,Unmarried,White,Male,0,0,48,United-States,1
4262,26,Private,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,24,United-States,0
15833,60,State-gov,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,1902,40,United-States,1
31238,18,Private,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,33,United-States,0
25328,52,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,48,United-States,1
3559,24,Local-gov,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,50,United-States,0
9906,49,Private,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,1
2641,27,Self-emp-not-inc,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29581,27,Private,Assoc-voc,11,Never-married,Craft-repair,Other-relative,White,Male,0,0,40,United-States,0
25158,20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,35,United-States,0
28182,45,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,45,United-States,0
5051,52,Private,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States,0
20951,38,Private,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,40,United-States,0
26963,17,Private,10th,6,Never-married,Sales,Own-child,White,Female,0,0,12,United-States,0
6174,79,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,20051,0,35,El-Salvador,1
24577,52,Self-emp-not-inc,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,95,United-States,1
7963,31,Private,12th,8,Never-married,Sales,Not-in-family,White,Male,4650,0,50,United-States,0
25679,22,Private,12th,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,0
20117,31,Private,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,18,United-States,0
9050,55,Private,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Female,0,0,40,United-States,0
12186,34,Self-emp-not-inc,Bachelors,13,Divorced,Prof-specialty,Unmarried,White,Female,0,0,50,United-States,0
14468,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1740,48,United-States,0
3615,23,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
24621,36,Self-emp-inc,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,45,United-States,0
14672,37,Private,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,1
16211,62,Private,9th,5,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,0
5799,49,Self-emp-inc,Assoc-voc,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
6596,45,Self-emp-inc,Masters,14,Divorced,Sales,Unmarried,White,Female,25236,0,42,United-States,1
30786,24,Private,Assoc-acdm,12,Never-married,Craft-repair,Own-child,White,Male,0,0,40,United-States,0
18619,63,Private,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Female,0,0,20,United-States,0
9140,25,Private,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,0
7471,40,Private,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,42,United-States,0
15131,47,?,10th,6,Married-civ-spouse,?,Wife,White,Female,0,0,20,Cuba,0
29615,25,?,Masters,14,Never-married,?,Not-in-family,White,Female,0,0,35,Canada,0
9165,72,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1455,0,6,United-States,0
13970,19,Private,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,20,United-States,0
1747,32,Private,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,40,United-States,0
29786,28,Private,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Female,0,0,40,United-States,0
16937,43,Private,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
7841,38,Private,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,50,United-States,1
19894,25,Self-emp-inc,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,1
19379,40,Private,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,15024,0,24,United-States,1
3629,22,Private,Bachelors,13,Never-married,Exec-managerial,Other-relative,White,Female,0,0,20,United-States,0
28130,41,Local-gov,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,0
29319,22,?,Some-college,10,Never-married,?,Own-child,White,Male,0,0,40,United-States,0
9902,29,Private,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,24,United-States,0
10633,41,State-gov,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,United-States,0
21715,28,Private,9th,5,Never-married,Other-service,Other-relative,White,Male,0,0,52,United-States,0
9332,34,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
11304,31,Private,7th-8th,4,Divorced,Handlers-cleaners,Other-relative,White,Male,0,0,70,United-States,0
20862,55,Self-emp-not-inc,HS-grad,9,Widowed,Sales,Not-in-family,White,Male,0,0,40,United-States,0
29154,25,Private,Masters,14,Never-married,Prof-specialty,Own-child,White,Male,0,0,35,United-States,0
47,53,Private,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,38,United-States,0
24711,31,Private,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,0
31192,38,Private,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,0
21889,17,Private,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,0
2877,25,Private,5th-6th,3,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,0
14271,20,Private,Some-college,10,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,0
24884,38,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2051,44,United-States,0
9776,22,Private,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,32,United-States,0
16900,20,Private,HS-grad,9,Separated,Sales,Own-child,White,Female,0,0,26,United-States,0
5112,31,Private,HS-grad,9,Never-married,Other-service,Unmarried,Black,Male,0,0,18,United-States,0
2794,61,Private,HS-grad,9,Widowed,Sales,Not-in-family,White,Female,0,0,35,United-States,0
19586,41,Local-gov,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,United-States,1
14907,59,State-gov,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,0
32266,37,Local-gov,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,1
30821,52,State-gov,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,1
16519,49,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,1
17432,21,Self-emp-not-inc,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
29450,22,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,0,20,United-States,0
22761,34,Private,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,0
4072,41,Local-gov,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,40,United-States,0
18091,24,Private,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,0
31961,36,Self-emp-inc,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,70,United-States,0
20959,52,Private,HS-grad,9,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,0,0,50,United-States,0
19480,59,Private,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,1
6934,29,Private,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,45,United-States,0
4472,46,Private,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1485,40,United-States,1
21900,67,Private,Some-college,10,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,25,United-States,0
18016,60,Self-emp-not-inc,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1977,45,United-States,1
32507,38,Private,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,55,United-States,1
21377,62,Private,Assoc-voc,11,Divorced,Sales,Not-in-family,White,Female,0,0,40,United-States,0
15752,19,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,18,United-States,0
19992,20,Private,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,25,United-States,0
4148,66,?,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,0
3793,53,Federal-gov,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
19557,38,Private,10th,6,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,0
13468,65,Private,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,20,United-States,0
13591,49,State-gov,Doctorate,16,Divorced,Prof-specialty,Unmarried,White,Male,0,0,50,United-States,1
26147,31,Private,HS-grad,9,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States,0
2126,24,Private,HS-grad,9,Never-married,Sales,Own-child,White,Male,0,0,45,United-States,0
20796,47,State-gov,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,1
19457,29,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,0
7335,38,Private,10th,6,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,45,United-States,0
3800,28,Private,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,0
16193,26,Private,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,40,Philippines,0
16485,46,Private,Bachelors,13,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,1
14070,24,Private,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,0
30467,34,Private,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,0
8460,40,Self-emp-not-inc,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,0
24856,25,Private,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,35,United-States,0
21393,38,Private,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,1
27879,38,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,45,United-States,1
23647,42,Private,5th-6th,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,44,Mexico,0
26499,61,Federal-gov,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,1887,40,United-States,1
146,31,Private,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,30,United-States,0
5153,27,Private,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,0
23500,37,State-gov,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,0
