,Job Title,Location,Company,Salary,No. of Reviews,Company Ratings,Job Summary
2405,Principal Data Scientist,"San Jose, CA 95134 (North San Jose area)","MKS Instruments, Inc.",None,None,None,"Data preparation, data visualization and presentation of data. Solve business related problems using advanced data analysis and data driven technologies...."
2406,Associate Scientist/Scientist - BioProcessing/1608BP11,"Belmont, CA","LakePharma, Inc.",None,None,None,LakePharma is inviting applications for a full-time Associate Scientist or Scientist position. Assisting with data trending and analysis....
2407,Econometric Data Scientist,"Burlingame, CA 94010",Lyra Health,None,None,None,"We believe that better data is a critical part of the solution, and we’re looking for econometricians and/or health services researchers to join our team of..."
2408,Machine Learning Engineer,"Redwood City, CA",C3 IoT,None,None,None,"Work closely with data scientists in early phases of products development to understand their research, develop new tools, and ensure smooth integration and..."
2409,Sr. Machine Learning Scientist,"Santa Clara, CA 95054","Omnivision Technologies, Inc",None,None,None,Responsibilities Develop state-of-the-art machine learning and computer vision techniques Drive application and adoption of ML in all aspects of imaging and
2410,Machine Learning Engineer,"San Mateo, CA 94402 (Beresford area)",Datanyze,None,None,None,"1+ years of software development experience in machine learning, data mining, big data Strong fundamentals in design/coding in Java/Python on Linux Platforms..."
2411,"Vector Biologist, Debug Project, Verily Life Sciences","South San Francisco, CA",Google,None,"1,219 reviews",52.8,"Strong interpersonal, data presentation, and communication skills. The Debug Project is seeking a motivated scientist with broad training in vector biology...."
2412,Statistical Scientist,"South San Francisco, CA",Genentech,None,272 reviews,51.6,"Proven experience in the principles and techniques of data analysis, interpretation and clinical relevance...."
2413,Genomic Counseling Manager,"Menlo Park, CA 94025","Personalis, Inc",None,None,None,"Strong ability to collaborate with teams of clinicians, research scientists, and external collaborators required...."
2414,Omni-Channel Operations Analyst,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"As idea explorers for eCommerce, our engineers, scientists, consumer internet professionals and visionaries design, prototype and build extraordinary products...."
2415,Senior Machine Learning Engineer,"San Mateo, CA",Meta Company,None,None,None,"As senior machine learning engineer at Meta, you will develop algorithms that underpin the state-of-the-art Meta SDK for the first true 3D Input, 3D Output"
2416,"Mass Spectrometry Scientist, Verily Life Sciences","South San Francisco, CA",Google,None,"1,219 reviews",52.8,Experience in acquiring and analyzing DIA data. Verily is recruiting research scientists with experimental expertise in mass spectrometry-based proteomics....
2417,Research Scientist,"Palo Alto, CA",Amazon Corporate LLC,None,"9,635 reviews",43.2,Experience teaching and mentoring other scientists and analysts. Proficient with SQL and experience with very large-scale data....
2418,Data Engineer,"San Mateo, CA",Lumiata,None,None,None,"Founded in 2013 and based in Silicon Valley, Lumiata’s team is comprised of clinicians, data scientists, and experts in care delivery...."
2419,Temporary Research Scientist II (Formulations),"South San Francisco, CA 94080",Exelixis Inc.,None,None,None,Is knowledgeable and able to create design of experiments and to critically analyze data in a sound scientific manner....
2420,"Manager, Biostatistics","Foster City, CA",Planet Pharma,None,None,None,"Works collaboratively with Clinical Research, Statistical Programmers, Biostatisticians, , Clinical Data Managers, Biomarker Scientists, Bioinformatics, and..."
2421,Data Analytics Manager,"San Francisco, CA",Willis Towers Watson,None,217 reviews,44.4,"Building upon our existing advanced analytics and data provisions services, RCS is currently broadening its big data predictive analytics capabilities and is..."
2422,Quantitative Research Analyst,"San Francisco, CA",SigFig,None,None,None,"We are looking for an investments analyst to join our research and investment product team. You have a broad skill set, comfortable in analyzing globally"
2423,Data Scientist (Platform),"San Francisco, CA",Clover Health,None,None,None,Acquire and bring structure to data so that it can be used in our data systems and data apps. Build tools that help you and the other Data Scientists translate...
2424,Head of Data Science,"San Francisco, CA 94108 (Financial District area)",YouCaring,None,None,None,Leads a team of data scientists. Head of Data Science:. Constantly driving our data model forward. Ensures data integrity across all platforms and databases....
2425,Associate Scientist,"San Carlos, CA 94070",Natera,None,21 reviews,39.6,"Perform data analysis with advanced analytical tools (JMP, Excel, R); Natera is seeking a highly motivated, skilled and interactive Associate Scientist to join..."
2426,"Associate Instructor, Data Science","San Francisco, CA",Galvanize,None,2 reviews,60.0,"Galvanize has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science..."
2427,Data Scientist,"San Francisco, CA 94126 (Financial District area)",Affirm,None,None,None,Conduct ad-hoc data analyses; Deep understanding of and experience with machine learning and data analysis. Build production fraud and credit machine learning...
2428,Healthcare Research Analyst,"San Francisco, CA 94102 (Downtown area)",Practice Fusion,None,2 reviews,51.0,"Practice Fusion is building a team of data analysts, data scientists and developers to create innovative data products using one of the largest de-identified..."
2429,Data Science Team Lead: Weather Science Statistics,"San Francisco, CA",The Climate Corporation,None,2 reviews,54.0,"Collaborate with software engineers and scientists, to productionize cutting-edge, scalable statistical algorithms applied to real-world data, for market-facing..."
2430,Big Data Technical Intern I,"Palo Alto, CA",AT&T,None,"14,313 reviews",44.4,"As a data scientist or data engineer, you’ll use your talent for breaking down business problems into data-driven analyses that guide improvements in customer..."
2431,Lead Data Scientist,"San Francisco, CA",The Nielsen Company,None,676 reviews,43.2,The Lead Data Scientist for Telecom is responsible for leading new product development by providing the Data Science guidance essential to product quality....
2432,Data Engineer,"San Francisco, CA",Lyft Corporate,None,12 reviews,51.0,Work directly with Data Scientists and Data Analytics to develop scalable data models. You will also leverage data expertise to help evolve data models in...
2433,"Manager, Biostatistics- Inflammation/Respiratory","Foster City, CA",Gilead,None,None,None,"Works collaboratively with Clinical Research, Statistical Programmers, Biostatisticians, , Clinical Data Managers, Biomarker Scientists, Bioinformatics, and..."
2434,Data Scientist,"San Francisco, CA",LSQ,None,None,None,Senior Data Scientist. Conduct thorough analysis of data of over 20 years of business specifications and data....
2435,"Manager, Biostatistics- Inflammation/Respiratory","Foster City, CA",Gilead Sciences,None,75 reviews,43.8,"Works collaboratively with Clinical Research, Statistical Programmers, Biostatisticians, , Clinical Data Managers, Biomarker Scientists, Bioinformatics, and..."
2436,Data Scientist (Natural Language Processing),"Brisbane, CA",Corporate Labs Technology,"<nobr>$110,000 - $180,000 a year</nobr>",None,None,"Natural Language Processing Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is"
2437,"Machine Learning Deployment Engineer, Professional Services,...","San Francisco, CA",Google,None,"1,219 reviews",52.8,Experience interpreting technical data and creating reports with data. Experience with data analytics and/or data visualization techniques and software....
2438,"Senior Scientist, T-cell Directing Therapies","South San Francisco, CA 94080",Pfizer Inc.,None,"1,823 reviews",52.1,Ability to perform complex data analysis. Role Description We are seeking to hire an enthusiastic and team-oriented scientist with demonstrated expertise in...
2439,QC Scientist,"South San Francisco, CA",Stemcentrx,None,None,None,Review data generated by other analysts for correctness and compliance with cGMP standards. Support QC testing for antibody drug conjugates....
2440,"Bioinformatics Scientist, Discovery Oncology","South San Francisco, CA",Genentech,None,272 reviews,51.6,"Exceptionally strong communication, data presentation and visualization skills. In our research we apply a wide variety of high-throughput data technologies and..."
2441,Data Curator / Data Analyst,"South San Francisco, CA 94080",Second Genome,None,None,None,Experience in working with clinical data. Ability to work in a team of multidisciplinary scientists. Expertise with ontologies/controlled vocabularies and their...
2442,Data Scientist,"San Francisco, CA",Workbridge Associates,"<nobr>$100,000 - $150,000 a year</nobr>",25 reviews,41.4,"MS in similar program with 2+ years of experience in Data Scientist or Software Engineer role. Top startup in fashion, online retail, and personal styling has..."
2443,"Manager, Analytics","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,Experience modeling data using either R or SAS. This role will be critical to transforming big data into business insights....
2444,"Computational Biologist, Verily Life Sciences","South San Francisco, CA",Google,None,"1,219 reviews",52.8,"You will also help Verily scientists in other areas with data analyses or algorithm development, and interact with investigators from partner institutions to..."
2445,Associate Scientist,"South San Francisco, CA",Hart,<nobr>$30 an hour</nobr>,21 reviews,51.0,"Communicates data and interpretation to work group. Plans, monitors or conducts, analyzes and records experiments, and provides interpretation of data...."
2446,"Manager, Marketing Analytics - Online Grocery","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Perform ad hoc data pulls and analyses for the marketing team. As idea explorers for eCommerce, our engineers, scientists, consumer internet professionals and..."
2447,Data Scientist,"Burlingame, CA",Color Genomics,None,None,None,"We are looking for a motivated, proactive data scientist who will have a strong impact in one or more areas such as helping Color reach a broader market,..."
2448,Senior Formulation Scientist,"South San Francisco, CA 94080",Audentes Therapeutics,None,None,None,"Additionally, the Senior Formulation Scientist will perform stability studies and characterization techniques to the selection of promising formulation..."
2449,"Software Engineer, Machine Learning","San Bruno, CA",Google,None,"1,219 reviews",52.8,"We're looking for engineers who bring fresh ideas from all areas, including information retrieval, distributed computing, large-scale system design, networking..."
2450,Data Engineering | Software Engineer,"San Francisco, CA 94107 (South Of Market area)",HouseCanary,None,None,None,"Collaborate with talented data scientists to implement predictive models. We track thousands of data elements every month, from national factors down to house..."
2451,Associate Marketing Manager,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2452,Data Scientist (Machine Learning),"Brisbane, CA",Corporate Labs Technology,"<nobr>$110,000 - $180,000 a year</nobr>",None,None,"Machine Learning Developer Brisbane, CA Sign on bonus Stocks! Up to 10% bonuses $110-180k depending on experience Fast growing social media company is"
2453,"Business Manager, Marketplace Customer Promise","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2454,"Associate Manager, Site Merchandising","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2455,Sr/Lead Data Scientist,"San Francisco, CA 94107 (South Of Market area)",Doximity,None,None,None,"We are looking for an experienced Data Scientist to join our growing data science team. Because Doximity is such a data-driven company, our data scientists play..."
2456,Merchandising Intern - Summer 2017,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2457,Postdoctoral Research Fellow,"South San Francisco, CA",Genentech,None,272 reviews,51.6,The position has plenty opportunities to interact and collaborate with scientists in a dynamic cancer immunotherapy community at Genentech (South San Francisco...
2458,Statistician,"San Francisco, CA",University of California San Francisco,None,69 reviews,52.1,"The Statistician will be asked to ensure data quality (assessing data completeness, cleaning, verification, reliability and validity of study variables, and..."
2459,Assay Development Research Associate,"South San Francisco, CA 94080",Quintara Discovery,None,None,None,"This position requires working with an interdisciplinary team of DMPK scientists, analytical chemists and pharmacologists...."
2460,Senior Quantitative Analyst,"San Francisco, CA 94107 (South Of Market area)",Squaretrade,None,11 reviews,42.0,Experience working with large data volumes is a must! Ability to draw conclusions from raw data then summarize results quickly and efficiently;...
2461,"Manager, Fulfillment Customer Experience","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2462,Quantitative Analyst (Geospatial),"San Francisco, CA",The Climate Corporation,None,2 reviews,54.0,Collaboratively develop needed methodology for data mining and data quality automation. Understand the various data pipelines and caveats of different agronomic...
2463,"Product Analytics Lead, Data Science - Mountain View, San Br...","San Bruno, CA",Google,None,"1,219 reviews",52.8,Data Scientists are changing the world one technological achievement after another. You weave stories with meaningful insight from data....
2464,Business Intelligence Analyst,"San Francisco, CA",Rally Health,None,None,None,"We are looking for experienced data analysts to join our data team, which also includes engineers and scientists, to drive our analytics, reporting, and..."
2465,"Scientist, Computational Chemistry","South San Francisco, CA",Denali,None,8 reviews,53.4,"Implement informatics solutions to automate data collection, distribution and analysis. As Scientist in our Small Molecule Computational Chemistry group you..."
2466,BIOINFORMATICS SCIENTIST I/II,"San Francisco, CA","GRAIL, Inc.",None,None,None,"The Bioinformatics Scientist I/II will be part of the research team, and will be responsible for the development of methods, analysis, pipelines, and algorithms..."
2467,None,"San Francisco, CA",BlackRock,None,143 reviews,43.8,"BlackRock - Risk and Quantitative Analysis – Analyst/Associate - 162360 BlackRock is a leader in investment management, risk management and advisory"
2468,Data Scientist,"San Francisco, CA",Chartboost,None,None,None,We are seeking an experienced Data Scientist to help build statistical models from Chartboost and third party data to improve the relevance of mobile ads shown...
2469,Data Visualization Designer - San Francisco,"San Francisco, CA",Winton Capital,None,None,None,"Data Visualization Designer. Portfolio of Data Visualization designs. As the company’s first Data Visualization Designer, you will be responsible for building..."
2470,Senior Data Scientist,"San Francisco, CA",Ancestry,None,35 reviews,42.6,Data Mining Product team is looking for an experienced Data Scientists who has a passion to build data products and data systems....
2471,Research Analyst,"San Francisco, CA",Airbnb,None,48 reviews,52.1,"Experience with large databases and raw data. You will work closely with our global communications, policy, and data science teams to provide data, analysis and..."
2472,Computer Vision Engineer / Data Scientist,"San Francisco, CA",Spacequant,None,None,None,We are looking for a data scientist / engineer to extract data from images. We are a tech startup based in San Francisco....
2473,Sales Operations Analyst,"South San Francisco, CA 94080",Counsyl,None,3 reviews,39.0,Master Data Management in Salesforce.com:. Success in this role requires that you maintain a keen focus on data quality....
2474,Research Analyst,"South San Francisco, CA",Intrexon Corporation.,None,None,None,"Analyze a variety of sectors, industries and data. Utilize data and information to develop integrated revenue/expense analyses, projections, reports, and..."
2475,Big Data Senior Consultant,"San Francisco, CA",Deloitte,None,"3,481 reviews",51.0,"Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology...."
2476,Data Scientist (Growth) - Uber for Business,"San Francisco, CA 94103 (South Of Market area)",Uber,None,161 reviews,51.0,"As a Data Scientist on Uber for Business you will work hand in hand with the Product, Marketing, Design and Engineering teams to keep product development data..."
2477,Statistically Significant Data Scientist,"San Francisco, CA",LiveRamp,None,None,None,As a LiveRamp Data Scientist you’ll analyze the complex connections in this half a trillion node graph that contains PBs of data from over a 1000 different...
2478,Drug Delivery Device Researcher/ Analyst,"San Francisco, CA",Eurofins,None,None,None,"Perform review and peer review of analytical data, as well as prepare data for presentation. Strong computer, scientific, data analysis and organizational..."
2479,Senior Data Scientist,"San Francisco, CA",Ticketfly,None,3 reviews,43.2,"Ticketfly is seeking an experienced Data Scientist to join the Data Science team. Collaborate effectively with engineers, data scientists, product managers and..."
2480,Environmental Data Scientist,"San Francisco, CA",Aclima,None,None,None,"Experience with spatial statistics and large-scale data analysis techniques, including data mining and machine learning...."
2481,Research Statistician,"South San Francisco, CA",Genentech,None,272 reviews,51.6,"Candidates should be experienced in data analysis, with strong computational skills, and expect to pursue research programs involving statistical applications..."
2482,Big Data Analyst,"San Francisco, CA",SoFi,None,7 reviews,42.6,"The Big Data Analyst works intimately with hit data and our analytics suite. Your projects will touch on many parts of the company, but our data scientists and..."
2483,Software Engineer (Machine Learning) - TellApart,"San Francisco, CA 94103 (South Of Market area)",TellApart,None,None,None,Data is at the core of everything we do at TellApart - we thrive and prosper based on our ability to find insights in our data and apply them to drive revenue...
2484,Transportation Finance Analyst,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2485,Data Science Manager,"San Francisco, CA",Twitch,None,4 reviews,55.8,"Experience working with event-based product usage data, ideally as a Data Scientist at a web/mobile product company...."
2486,"Sr. Manager, Statistical Programming","South San Francisco, CA 94080","Theravance, Inc.",None,None,None,Knowledge of industry data standards. Ensure that the company business needs and partner organizations are satisfied within agreed-upon timelines with respect...
2487,"gU Faculty, Principal Data Scientist","San Francisco, CA",Galvanize,None,2 reviews,60.0,"GalvanizeU has a tight-knit team of data scientists, educators, and community builders that are creating a pathway onto industry’s most demanding data science..."
2488,Director of Analytics,"San Francisco, CA 94104 (Financial District area)",Pocket Gems,None,None,None,"Mentor a team of analysts, data scientists, and data engineers; We think that our analysts, data scientists, and analytics engineers are working on several..."
2489,Senior Data Scientist,"San Francisco, CA",Esurance,None,102 reviews,42.6,Extensive experience in data management and data scrubbing. Technical mentoring for junior data scientists in the team while owning independent deliverables....
2490,"Assistant Marketing Manager, Email - Online Grocery","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2491,Staff Data Engineer,"San Francisco, CA 94111 (Financial District area)",Lookout,None,2 reviews,60.0,"Advocate proper data scaling architectures for our application teams by leveraging the data platform. Design, build and launch new data models and ETL pipelines..."
2492,Financial Analyst,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2493,Machine Learning Engineer,"San Francisco, CA",Opendoor,None,2 reviews,51.0,ML Engineers work closely with Data Scientists and Data Engineers to research and productize predictive services that power our data products....
2494,Data Scientist,"San Francisco, CA",RangTech,None,None,None,"Data Scientist (Full time). Web analytics, Data mining techniques application for large data. Experience in data visualization and presentation...."
2495,"Sr. Manager, Statistical Programming","South San Francisco, CA",Theravance Biopharma,None,None,None,Knowledge of industry data standards. Ensure that the company business needs and partner organizations are satisfied within agreed-upon timelines with respect...
2496,Data Scientist,"San Francisco, CA",Jawbone,None,11 reviews,42.0,"The Team You can’t wait to join a team of data scientists, data engineers, and data visualization experts and make a huge impact on our best-in-class software...."
2497,Data Engineer,"San Francisco, CA",Good Eggs,None,4 reviews,54.0,Collaborate with Data Scientists in building infrastructure for testing and deploying machine learning models....
2498,Statistical Programmer,"San Francisco, CA",Beacon Hill Pharma,None,None,None,"May partner with biostatisticians and clinical data management staff in establishing standards for clinical data collection, management and/or reporting of data..."
2499,Statistical Scientist - Biomarker Focus,"South San Francisco, CA",Genentech,None,272 reviews,51.6,"Reviews study protocols, authors statistical sections of protocols, prepares the study randomization, develops the statistical and data analysis plans, develops..."
2500,Staff Scientist (Particle Data Group - Physics Division),"Berkeley, CA 94720",Lawrence Berkeley National Laboratory,None,61 reviews,52.1,Staff Scientist (Particle Data Group - Physics Division). The Physics Division at Lawrence Berkeley National Laboratory (LBNL) has an opening for a Staff...
2501,Senior Scientist,"San Francisco, CA 94158 (South Of Market area)",Twist Bioscience,None,None,None,Able to present data effectively. This candidate will work extensively with internal teams such as automation engineers and technology transfer scientists to...
2502,Machine Learning Engineer,"San Francisco, CA",Gigster,None,3 reviews,55.1,"All of our projects require a disciplined approach to data management, including data ingestion, data integrity, distributed data processing and modeling...."
2503,Data Science - Internship/Co-op,"San Francisco, CA 94103 (South Of Market area)",Uber,None,161 reviews,51.0,"Uber Data Science is looking for world class data science interns to join its Data Science Platform, a group responsible for building, scaling, and centralizing..."
2504,"Program Manager, Product Evaluation, Verily Life Sciences","South San Francisco, CA",Google,None,"1,219 reviews",52.8,"Experience with data analysis, including querying data from databases and manipulating/analyzing data sets using SQL and statistical tools/software packages (e..."
2505,Data Engineer,"Burlingame, CA 94010",CrowdStar,None,3 reviews,55.1,Maintain and enhance Tableau and custom data visualization tools.Work with data scientists to develop a scalable data visualization platform....
2506,Senior Research Analyst,"San Francisco, CA",NinthDecimal,None,None,None,"Comfortable working with large, unstructured datasets and creating data visualizations. And its data partnerships with leading companies like Datalogix and..."
2507,Ensemble Machine Learning Intern,"San Francisco, CA 94158 (South Of Market area)","Illumina, Inc.",None,52 reviews,41.4,"Must have solid knowledge of machine learning methods, big data technology stack including Apache Spark, bioinformatics exposure...."
2508,"Manager, Operations","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2509,Ubernomics Data Scientist - Internship/Co-op,"San Francisco, CA 94103 (South Of Market area)",Uber,None,161 reviews,51.0,"In addition, the team supports the Chief Economist in other projects aimed at better understanding Uber customer behavior through economic analysis and..."
2510,Data Scientist,"San Francisco, CA",Samba TV,None,None,None,We’re looking for a Data Scientist to help us build the first real-time cross-screen TV analytics platform that brings the power of online analytics to TV data....
2511,Data Engineer - Aspera Analytics (Go/Scala/Spark),"Emeryville, CA","Aspera, an IBM Company",None,None,None,The Data Engineer position will focus on a wide array of big data architectural problems. Container-izing data pipelines for deployment....
2512,Quantitative Analyst,"San Francisco, CA",First Republic Bank,None,52 reviews,51.6,"As a strategic service offering, First Republic’s “Enterprise Data and Client Insight” (EDCI) office works collaboratively with business and Information..."
2513,Data Scientist,"San Francisco, CA",CSS Staffing,None,76 reviews,44.4,"Enterprise Data Processing - Extract meaningful data from structured, RDBMS, text and unstructured data...."
2514,Senior Data Scientist,"San Francisco, CA 94105 (Financial District area)",Verizon,None,"11,129 reviews",44.4,"As our data scientist, candidates will provide expertise on mathematical concepts for the broader applied analytics team and inspire the adoption of advanced..."
2515,Data Engineer,"San Francisco, CA",Gigster,None,3 reviews,55.1,"All of our projects require a disciplined approach to data management, including data ingestion, data integrity, distributed data processing and modeling...."
2516,Administrative Assistant II - Digital Store Operations,"San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Provides assistance to department with data management. Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate..."
2517,Data Science Manager- Intelligent Spend,"San Francisco, CA 94103 (South Of Market area)",Uber,None,161 reviews,51.0,"Are you interested in working at the intersection of applied microeconomic research, operations engineering, and data science?..."
2518,Machine Learning Engineer,"San Francisco, CA",Indeed Prime,None,None,None,Work on several data classification problems at petabyte scale data and incorporate back into statistical models....
2519,Data Scientist,"San Francisco, CA",Stride Search,None,None,None,As a Data Scientist you will:. Were seeking an exceptional Data Scientist to join us in building data products at the core of the company....
2520,Sr. Data Scientist,"San Francisco, CA",BOLD,None,8 reviews,41.4,"Leverage our rich data sets of user data to perform research, develop models and create data products with our Development &amp; Product teams...."
2521,Staff Statistical Programmer Analyst,"San Francisco, CA",Nektar,None,None,None,"Establish monitoring of data transfers for ongoing trials to identify study conduct or data quality issues. Generate and QC summary tables, data listings and..."
2522,None,"San Francisco, CA",Pfizer Inc.,None,"1,823 reviews",52.1,"Duties will include helping scientists to execute different types of experiments,ranging from screening crude samples to the in-depth kinetic and epitope..."
2523,Data Scientist,"San Francisco, CA",Atomic,None,3 reviews,51.0,"Relations between the data, acquire additional data from sources such as. Data analysis &amp; hypothesis testing...."
2524,Machine Learning Engineer,"San Francisco, CA 94107 (South Of Market area)",Mainz Brady Group,None,7 reviews,42.6,"Take end-to-end ownership over ML systems-from data pipelines and training to realtime prediction engines. Advanced degree or experience equivalent in ML, data..."
2525,Data Scientist - Forecasting,"San Francisco, CA 94103 (South Of Market area)",Uber,None,161 reviews,51.0,Do you believe in thepower of data to make transportation orders of magnitude more efficient than it is today?...
2526,Internal Analytics Lead,"San Francisco, CA",BuildZoom,None,None,None,"Our first data scientist specializing in internal analytics. The person in this role will belong to a broader team of data scientists, but will work closely..."
2527,Data/ Business Analyst (Scientific Software Specialist),"South San Francisco, CA",SQA Solution,None,None,None,Conduct data life cycle management and data validation of safety assessment’s scientific and operational data to resolve data quality issues....
2528,Senior Research Analyst - Mellon Capital Management - San Fr...,"San Francisco, CA",BNY Mellon,None,"1,564 reviews",42.6,"For over 230 years, the people of BNY Mellon have been at the forefront of finance, expanding the financial markets while supporting investors throughout the"
2529,Principal Business Intelligence Analyst,"San Francisco, CA",Symantec,None,435 reviews,43.8,"Collaborate with a cross-functional team consisting of actuaries, engineers, data scientists, product managers and researchers to advance Symantec’s cyber..."
2530,Data Scientist,"San Francisco, CA 94105 (Financial District area)",Zephyr Health,None,None,None,Proven experience leading talented data scientists. What is the Data Scientist role at Zephyr? We are looking for Data Scientists to join our Engineering team...
2531,Data Scientist (Value Add Services) - Uber for Business,"San Francisco, CA 94105 (Financial District area)",Uber,None,161 reviews,51.0,"As a Data Scientist on Uber for Business you will work hand in hand with the Product, Marketing, Design and Engineering teams to keep product development data..."
2532,"Associate Acquisition Marketing Manager, Online Grocery","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2533,"Associate Manager, Operations","San Bruno, CA 94066",Walmart eCommerce,None,17 reviews,42.0,"Data scientists, front and back-end engineers, product managers, and web and UX/UI teams collaborate alongside e-commerce experts to envision, prototype, and..."
2534,Data Scientist,"Berkeley, CA","Wise.io, Inc.",None,None,None,"We are seeking data scientists who:. As a data scientist, you understand the variety of companies and positions vying for your skills...."
2535,None,"Burlingame, CA 94010",Acumen LLC,None,None,None,"Acumen, LLC and The SPHERE Institute conduct data analysis of health care policy at the national, state, and local levels...."
2536,"Scientist, Fermentation","Emeryville, CA 94608",Zymergen,None,None,None,We favor a Scientist with experience in some or all of the following areas:. Zymergen is hiring a Scientist with experience in fermentation to advance bench...
2537,"Research Associate II / Sr. Research Associate, Biology","South San Francisco, CA",Theravance Biopharma,None,None,None,Good data interpretation and basic bioinformatics skills. The successful candidate will have the opportunity to work closely with discovery program teams and...
2538,Data Scientist,"Irvine, CA 92618",Verizon,None,"11,129 reviews",44.4,"Familiarity and experience with creating analytical data sets. As a Data Scientist/Data Analyst at Verizon, you’ll create analytical models to predict customer..."
2539,"Data Scientist, Business Intelligence","Irvine, CA",Blizzard Entertainment,None,86 reviews,44.4,Blizzard is looking for a data scientist to join our business intelligence team. Experience with data visualization tools like Tableau....
2540,Data Scientist - Entry Level,"Irvine, CA 92618",Verizon,None,"11,129 reviews",44.4,"Experience with creating analytical data sets. Knowledge of Big Data discovery through the use of technologies such as Teradata EDW, Aster, Tableau, and Hadoop...."
2541,Data Scientist,"Irvine, CA 92618",KPMG,None,"1,770 reviews",51.0,"Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information..."
2542,"Data Scientist, Natural Language Processing","Irvine, CA 92618",KPMG,None,"1,770 reviews",51.0,"KPMG is currently seeking a Data Scientist to join our Advanced Data Analytics team in our Irvine, CA office...."
2543,"Data Engineer Intern, Business Intelligence","Irvine, CA",Blizzard Entertainment,None,86 reviews,44.4,"Senior data engineers, data scientists, business analysts, and gameplay designers and engineers. To build out his or her professional foundation with the..."
2544,Data Scientist,"Irvine, CA",Viant,None,None,None,"Data Scientist sought by Viant Technology, LLC in Irvine, CA to support data mining and data analysis efforts for personalized advertisement targeting;..."
2545,Analytics Lead,"Irvine, CA",Blizzard Entertainment,None,86 reviews,44.4,"A minimum of 10 years’ experience as an analyst, researcher, data scientist or similar. Experience pulling data with SQL...."
2546,Data Visualization Software Engineer,"Irvine, CA 92618",KPMG,None,"1,770 reviews",51.0,"Ability to perform data tasks, working with a variety of SQL, NoSQL, and HDFS data stores, and preparing data for visualization...."
2547,Sr Associate - Data Scientist,"Irvine, CA 92618",KPMG,None,"1,770 reviews",51.0,"Five years of professional experience working as a Data Scientist. Machine learning, data visualization, statistical modeling, data mining, or information..."
2548,Risk Analyst/Data Scientist (Auto Finance),"Santa Ana, CA 92706",Veros Credit,None,17 reviews,39.6,Demonstrated ability to manipulate and analyze data across large databases. Support the Credit Risk Management team in data analysis and model construction....
2549,CLS I,"Irvine, CA",Agendia,None,None,None,California Clinical Laboratory Scientist (CLS) or Clinical Genetic Molecular Biologist Scientist (CGMBS) License or any other specialist license that can...
2550,Big Data Senior Consultant,"Costa Mesa, CA",Deloitte,None,"3,481 reviews",51.0,"Experienceworking as a Data Scientist. Knowledgeof data, master data and metadata related standards, processes and technology...."
2551,Data Scientist,"Irvine, CA",Acorns,None,7 reviews,54.6,"Data Scientist | Acorns. Build a formalized Data Science practice from scratch, paving the way for many more data scientists and analyst to follow in your..."
