|title|blurb|category|location|goal_USD|pledged_USD|percent_received|pledged_USD|num_backers|num_backers_tier|pledge_tier|url|exchange_rate|goal_level|goal_level_num|pledge_level|pledge_level_num|creator|creator_names|country|start|end|days
931|RooSport 2.0 Wallet: World's First Magnetic Wallet/Pocket|A minimalist wallet that holds your keys, cards, cash, iPhones, smart phones, passports, energy gels, medicine, and more...|Fashion|Ogden, UT|20000.0|115111.0|575.555|115111.0|3531|[15, 200, 300, 1000, 544, 1002, 246, 122, 11, 58, 19, 3]|[1.0, 14.0, 16.0, 19.0, 21.0, 39.0, 57.0, 74.0, 75.0, 109.0, 179.0, 499.0]|/projects/theroosport/roosport-20-wallet-worlds-first-magnetic-wallet-po|1.0|high|2|low|0|theroosport|Brenda Brundage|USA|2014-06-24|2014-07-28|33
932|Draco Magi|A new strategic card game by Robert Burke & Richard Launius. Can you rise to power by proving your dragon mastery?|Tabletop Games|Charlotte, NC|15000.0|95564.0|637.093333333|95564.0|3531|[34, 48, 2490, 294, 469, 47, 33, 30, 77, 3]|[1.0, 8.0, 15.0, 20.0, 28.0, 36.0, 60.0, 65.0, 75.0, 250.0]|/projects/478379924/draco-magi|1.0|medium|1|low|0|478379924|Robert Burke|USA|2014-01-27|2014-02-21|25
933|Mistborn: House War|The official board game set in the world of Brandon Sanderson's epic fantasy novel series.|Tabletop Games|Portland, OR|30000.0|339973.0|1133.24333333|339973.0|3528|[158, 1771, 60, 1198, 325]|[1.0, 50.0, 75.0, 100.0, 220.0]|/projects/craftygames/mistborn-house-war|1.0|high|2|low|0|craftygames|Crafty Games|USA|2016-06-15|2016-07-20|35
934|Disgruntled Decks: The Original Card Game For Veterans.|The Original Card Game For Veterans. Disgruntled Decks can be played by itself or used as an unofficial military Cards Against Humanity third party expansion.|Playing Cards|Alexandria, VA|15000.0|147526.0|983.506666667|147526.0|3527|[16, 2115, 836, 302, 203, 19]|[1.0, 30.0, 50.0, 60.0, 85.0, 200.0]|/projects/disgruntleddecks/disgruntled-decks-the-original-card-game-for-veter|1.0|medium|1|low|0|disgruntleddecks|Disgruntled Decks LLC|USA|2016-02-02|2016-03-03|30
935|Acteon Compact Antibacterial Microfiber Beach Towels|Ultra lightweight full size and super compact towel treated with silver ions to reduce odor and prevent bacteria from growing.|Product Design|Huntington Beach, CA|15000.0|115797.0|771.98|115797.0|3526|[500, 300, 500, 627, 500, 219, 500, 367]|[10.0, 12.0, 20.0, 22.0, 28.0, 32.0, 36.0, 40.0]|/projects/acteon/acteon-compact-antibacterial-microfiber-beach-towe|1.0|medium|1|low|0|acteon|Acteon|USA|2016-04-04|2016-05-04|30
936|OwnPhones: Wireless, Custom-Fit, 3D Printed Earbuds|OwnPhones - The World's First 3D Printed Wireless Earbuds Custom Fitted to Your Ears and Perfectly Designed to Match Your Personality|Hardware|San Diego, CA|250000.0|767472.0|306.9888|767472.0|3526|[491, 274, 1000, 29, 998, 543, 13, 18, 63, 1, 3, 0, 0, 1, 0]|[149.0, 175.0, 199.0, 199.0, 219.0, 220.0, 249.0, 299.0, 299.0, 499.0, 799.0, 999.0, 1199.0, 2999.0, 9999.0]|/projects/ownphones/ownphones-the-worlds-first-custom-fit-3d-printed-e|1.0|dreaming|3|dreaming|3|ownphones|OwnPhones|USA|2014-07-16|2014-08-25|40
937|ROAM|Scavenge. Build. Fight. Survive. Introducing ROAM, an online co-op action game set in a procedurally generated world.|Video Games|Seattle, WA|40000.0|102518.0|256.295|102518.0|3526|[28, 11, 1588, 41, 150, 546, 236, 401, 400, 66, 24, 12, 8, 0, 4, 9]|[1.0, 5.0, 15.0, 20.0, 20.0, 25.0, 30.0, 40.0, 55.0, 65.0, 75.0, 125.0, 200.0, 250.0, 350.0, 500.0]|/projects/roam/roam|1.0|high|2|low|0|roam|ROAM|USA|2013-01-25|2013-02-24|30
938|ALEX Bottle: Twist Open. Clean Easy. Pack Small.|ALEX unscrews in the middle for easy cleaning, compacts small for storage, holds 26oz and can be beautifully customized.|Product Design|Carlsbad, CA|50000.0|184587.0|369.174|184587.0|3525|[31, 9, 100, 412, 1143, 52, 188, 194, 699, 57, 253, 44, 145, 43, 83, 29, 21, 1, 1, 2, 0]|[1.0, 5.0, 20.0, 26.0, 26.0, 34.0, 34.0, 49.0, 49.0, 60.0, 60.0, 94.0, 94.0, 112.0, 112.0, 139.0, 399.0, 1399.0, 1500.0, 2699.0, 10000.0]|/projects/1914152870/alex-bottle-twist-open-clean-easy-pack-small|1.0|high|2|medium|1|1914152870|ALEX Bottle|USA|2014-11-03|2014-12-03|30
939|Print on Fabric Using Sunlight: The Lumi Process|Analog meets digital with this textile printing process. Our new kits make it easy to do it yourself.|Technology|Los Angeles, CA|50000.0|268437.0|536.874|268437.0|3525|[208, 775, 350, 1376, 383, 225, 131, 8, 23]|[1.0, 35.0, 50.0, 70.0, 100.0, 130.0, 200.0, 425.0, 625.0]|/projects/lumi/print-on-fabric-using-sunlight-the-lumi-process|1.0|high|2|medium|1|lumi|Lumi|USA|2012-06-30|2012-07-30|30
940|PACE - Mach dein Auto zum Smartcar!|"PACE verbindet dein Auto mit deinem Handy und macht Autofahren sicherer, stressfreier & günstiger | PACE turns your car into a smartcar"|Technology|Berlin, Germany|54500.0|367708.23|674.694|367708.23|3523|[38, 500, 700, 1423, 8, 448, 16, 359, 0, 0]|[3.0, 77.0, 89.0, 100.0, 110.0, 111.0, 122.0, 167.0, 1121.0, 1457.0]|/projects/pacetelematics/pace-mach-dein-auto-zum-smartcar|1.09|dreaming|3|medium|1|pacetelematics|PACE|Germany|2016-02-10|2016-04-10|60
941|The Buccaneer\xae - The 3D Printer that Everyone can use!|To bring 3D printing technology into everyone's home by building a quality and affordable 3D printer that everyone can enjoy!|3D Printing|San Francisco, CA|100000.0|1438765.0|1438.765|1438765.0|3520|[94, 37, 360, 150, 2062, 80, 218, 231, 55, 1]|[7.0, 27.0, 297.0, 397.0, 397.0, 397.0, 447.0, 497.0, 997.0, 9997.0]|/projects/pirate3d/the-buccaneer-the-3d-printer-that-everyone-can-use|1.0|dreaming|3|high|2|pirate3d|Pirate3D Inc|USA|2013-05-30|2013-06-29|30
942|Pier Solar HD an RPG for XBOX360, PC, Mac, Linux & Dreamcast|Pier Solar is the biggest 16-bit RPG ever and it's coming to you in high definition for Xbox 360, PC, Mac, Linux & Sega Dreamcast!|Video Games|Muscatine, IA|139000.0|231370.0|166.45323741|231370.0|3519|[41, 479, 1228, 71, 176, 466, 58, 70, 223, 617, 9, 6, 8, 1, 5, 2, 0, 2, 1, 1]|[5.0, 15.0, 15.0, 45.0, 45.0, 49.0, 49.0, 90.0, 125.0, 125.0, 250.0, 499.0, 500.0, 500.0, 999.0, 999.0, 999.0, 3000.0, 3000.0, 7500.0]|/projects/573261866/pier-solar-hd-an-rpg-for-xbox360-pc-mac-linux-and|1.0|dreaming|3|high|2|573261866|WaterMelon Co.|USA|2012-11-05|2012-12-05|30
943|Jodorowsky's new film ENDLESS POETRY(Poes\xeda Sin Fin)|Alejandro Jodorowsky, father of the midnight movie, wants to exchange your money into  Poetic Money to make his latest film.|Drama|Santiago, Chile|350000.0|442313.0|126.375142857|442313.0|3518|[241, 236, 253, 580, 705, 438, 25, 445, 211, 36, 30, 20, 47, 32, 12, 9, 1, 8, 1, 8, 0, 0, 1, 3, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 1, 2]|[2.0, 5.0, 10.0, 20.0, 30.0, 50.0, 70.0, 111.0, 111.0, 222.0, 222.0, 222.0, 300.0, 500.0, 750.0, 1000.0, 1300.0, 1500.0, 1600.0, 1600.0, 1800.0, 2000.0, 2000.0, 5000.0, 5000.0, 5000.0, 6120.0, 7120.0, 7120.0, 7120.0, 7120.0, 7120.0, 7120.0, 7120.0, 10000.0, 10000.0, 10000.0, 10000.0]|/projects/276667448/jodorowskys-new-film-endless-poetrypoesia-sin-fin|1.0|dreaming|3|dreaming|3|276667448|Satori Films|Chile|2015-02-15|2015-03-22|35
944|"Pon Pin | Photo Display in a\xa0Punctureless Way"|Pon displays your pictures  without putting holes in your memories. Patent Pending Internationally.|Product Design|Chicago, IL|10000.0|62020.0|620.2|62020.0|3518|[100, 629, 100, 1136, 100, 1183, 80, 133, 33, 14]|[5.0, 7.0, 9.0, 11.0, 14.0, 16.0, 24.0, 24.0, 90.0, 130.0]|/projects/markweiser/prevent-picture-puncture-with-pon|1.0|medium|1|low|0|markweiser|Mark Weiser|USA|2015-01-27|2015-03-05|36
945|The Complete Android M Developer Course with Android Studio|An online course to teach anyone how to code by building real apps (like Uber and Snapchat clones) for Android M using Android Studio|Software|Cambridge, UK|3750.0|96833.75|2582.23333333|96833.75|3517|[10, 3255, 85, 54, 102, 0]|[8.0, 23.0, 93.0, 153.0, 271.0, 775.0]|/projects/908213631/the-complete-android-m-developer-course-with-andro|1.25|low|0|low|0|908213631|Rob Percival|USA|2015-06-12|2015-07-12|30
946|Structure Sensor: Capture the World in 3D|Scan objects and rooms in 3D, play augmented reality games, and develop mobile apps with 3D vision. For iPad, yet hackable.|Hardware|San Francisco, CA|100000.0|1290439.0|1290.439|1290439.0|3515|[113, 166, 600, 414, 98, 240, 599, 611, 100, 100, 55, 147, 20, 3]|[15.0, 25.0, 329.0, 330.0, 349.0, 349.0, 359.0, 379.0, 479.0, 479.0, 750.0, 950.0, 1350.0, 5000.0]|/projects/occipital/structure-sensor-capture-the-world-in-3d|1.0|dreaming|3|high|2|occipital|Occipital|USA|2013-09-17|2013-11-01|45
947|Band-it - extra small minimal wallet.|Seems too small for anything but holds everything you need.|Fashion|Milwaukee, WI|13000.0|64973.0|499.792307692|64973.0|3508|[16, 20, 1300, 100, 100, 377, 100, 198, 143, 500, 66, 333, 222, 12, 7, 0, 0, 0]|[1.0, 5.0, 13.0, 13.0, 13.0, 13.0, 13.0, 17.0, 17.0, 17.0, 17.0, 17.0, 18.0, 50.0, 100.0, 1200.0, 5500.0, 10000.0]|/projects/amagpoc/band-it-extra-small-minimal-wallet|1.0|medium|1|low|0|amagpoc|A. Magpoc Designs|USA|2013-06-13|2013-07-16|33
948|Lagoon: Land of Druids|Lead a circle of magical druids, explore a mystical world, and bend its destiny! A board game for 1-4 players.|Tabletop Games|Portland, OR|20000.0|147762.0|738.81|147762.0|3503|[2364, 231, 701, 112, 5, 34, 5, 5, 5]|[35.0, 45.0, 55.0, 65.0, 85.0, 100.0, 150.0, 175.0, 200.0]|/projects/1619383091/lagoon-land-of-druids|1.0|high|2|low|0|1619383091|David Chott|USA|2014-01-31|2014-03-03|30
949|The Dice Tower - 2015 (Season 11)|The Dice Tower enters its eleventh season.  We are raising funds to keep it going, making it better in every way!|Tabletop Games|Miami, FL|60000.0|179721.0|299.535|179721.0|3501|[367, 281, 599, 216, 118, 245, 166, 87, 20, 243, 1, 337, 29, 20, 6, 95, 91, 265, 0, 95, 0, 2, 1, 2, 1, 1, 1, 1, 0, 0, 4, 2, 4, 2, 3, 3, 4, 1, 2]|[1.0, 1.0, 15.0, 20.0, 20.0, 20.0, 20.0, 25.0, 48.0, 50.0, 50.0, 60.0, 60.0, 60.0, 60.0, 75.0, 85.0, 100.0, 144.0, 150.0, 150.0, 150.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 200.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 250.0, 500.0, 2000.0]|/projects/tomvasel/the-dice-tower-2015-season-11|1.0|dreaming|3|medium|1|tomvasel|Tom Vasel|USA|2015-01-05|2015-02-01|27
950|THE AGENTS RETURN - The Double-Edged Cards game is back!|The strategic card game of clever tactics & critical consequences, set in a world of spies, sabotage, secrecy and subterfuge.|Tabletop Games|New York, NY|30000.0|160336.0|534.453333333|160336.0|3494|[68, 165, 200, 119, 123, 1852, 125, 3, 199, 92, 489, 38, 1, 2, 1]|[1.0, 5.0, 16.0, 18.0, 22.0, 28.0, 42.0, 44.0, 62.0, 64.0, 85.0, 110.0, 500.0, 500.0, 500.0]|/projects/673576049/the-agents-return-the-double-edged-cards-game-is-b|1.0|high|2|low|0|673576049|Saar Shai|USA|2014-04-21|2014-05-21|30
951|Corvus Belli's INFINITY Roleplaying Game|The official roleplaying game based on Corvus Belli's sci-fi skirmish  game INFINITY|Tabletop Games|London, UK|31250.0|432912.5|1385.32|432912.5|3494|[216, 17, 209, 99, 27, 24, 253, 638, 81, 1059, 108, 217, 53, 153, 30, 38, 160, 78, 12]|[1.54, 15.0, 28.0, 31.0, 31.0, 31.0, 62.0, 62.0, 76.0, 93.0, 123.0, 154.0, 154.0, 231.0, 386.0, 386.0, 463.0, 771.0, 1465.0]|/projects/modiphius/corvus-bellis-infinity-roleplaying-game|1.25|high|2|low|0|modiphius|Chris Birch, Modiphius|USA|2015-09-16|2015-10-18|32
952|The HuMn Wallet - the best minimal RFID blocking wallet|A modern minimalist wallet that blocks RFID signals while keeping your money, credit cards, and business cards organized and secure.|Design|Portland, OR|66000.0|295402.0|447.578787879|295402.0|3491|[27, 29, 939, 100, 1000, 218, 866, 143, 74, 35, 8]|[8.0, 25.0, 49.0, 59.0, 69.0, 69.0, 89.0, 98.0, 178.0, 276.0, 356.0]|/projects/1127228691/the-humn-wallet-the-best-minimal-rfid-blocking-wal|1.0|dreaming|3|medium|1|1127228691|Scott Hussa|USA|2012-02-23|2012-04-02|39
953|Ultimate Protection For Your RFID Credit Cards & Passports|VAULTCARD™ is your pocket-sized protection against RFID fraud, shielding credit and debit cards to keep personal data safe.|Gadgets|London, UK|18750.0|163421.25|871.58|163421.25|3483|[300, 1218, 350, 1099, 200, 202, 50, 37, 9, 0, 4, 0]|[20.0, 23.0, 40.0, 45.0, 92.0, 108.0, 166.0, 199.0, 398.0, 455.0, 746.0, 830.0]|/projects/444545273/ultimate-protection-for-your-rfid-credit-cards-and|1.25|high|2|low|0|444545273|Vaultskin|USA|2016-07-04|2016-08-03|30
954|SolidSuit: Leather Finish & Carbon Fiber Case for iPhone|Amazing impact protection and timeless design; the most innovative iPhone case, with style.|Hardware|London, UK|7500.0|111130.0|1481.73333333|111130.0|3480|[34, 14, 468, 2187, 577, 127, 45, 13, 0]|[1.41, 16.0, 17.0, 24.0, 47.0, 69.0, 112.0, 212.0, 7069.0]|/projects/1081571316/solidsuit-leather-finish-impact-protection-case-fo|1.25|medium|1|low|0|1081571316|Evolutive Labs|USA|2016-03-17|2016-04-21|35
955|KP Duffle - The Ultimate Travel Bag|A bag that not only has a stunning appearance but offers functionality and performance second to none.|Product Design|Los Angeles, CA|15000.0|624474.0|4163.16|624474.0|3478|[127, 32, 575, 500, 499, 800, 638, 60, 198]|[15.0, 25.0, 135.0, 140.0, 160.0, 162.0, 170.0, 250.0, 300.0]|/projects/keeppursuing/kp-duffle-the-ultimate-travel-bag|1.0|medium|1|low|0|keeppursuing|Keep Pursuing|USA|2016-01-19|2016-03-04|45
956|Das Keyboard 5Q: The Cloud Connected Keyboard|Das Keyboard 5Q is a cloud-connected, open API RGB mechanical keyboard that allows each key to be color-controlled over the Internet.|Hardware|Austin, TX|100000.0|580902.0|580.902|580902.0|3475|[81, 6, 800, 1826, 81, 448, 138, 43, 21, 16]|[1.0, 19.0, 109.0, 139.0, 159.0, 189.0, 270.0, 378.0, 650.0, 899.0]|/projects/1229573443/das-keyboard-5q-the-cloud-connected-keyboard|1.0|dreaming|3|high|2|1229573443|Das Keyboard|USA|2016-06-30|2016-07-30|30
957|Radlicht - First Functional Side Lighting Solution!|Radlicht - Bicycle Wheel Lighting System. Radlicht makes nighttime bike riding Visible, Bright, Unique!|Technology|Boston, MA|10000.0|28509.0|285.09|28509.0|3468|[57, 17, 159, 14, 1, 5, 17, 1]|[49.0, 59.0, 95.0, 115.0, 129.0, 149.0, 185.0, 399.0]|/projects/radlicht/radlicht-first-functional-side-lighting-solution|1.0|medium|1|low|0|radlicht|Radlicht|USA|2013-12-03|2014-01-17|45
958|Shadowgate|The creators of Shadowgate are developing a new, epic version of the first-person fantasy adventure smash hit. Help make it happen!|Video Games|Charlottesville, VA|120000.0|137232.0|114.36|137232.0|3468|[999, 1145, 377, 183, 59, 216, 210, 38, 121, 7, 42, 14, 2, 3, 0, 0]|[10.0, 15.0, 30.0, 30.0, 45.0, 60.0, 95.0, 100.0, 130.0, 150.0, 200.0, 500.0, 1000.0, 2500.0, 5000.0, 7500.0]|/projects/zojoi/shadowgate|1.0|dreaming|3|high|2|zojoi|Zojoi|USA|2012-10-26|2012-11-25|30
959|Space Elevator Science - Climb to the Sky - A Tethered Tower|It’s Space Elevator research! Smart robots climbing 2 km straight up. The Ribbon is held aloft by large helium balloons.|Space Exploration|Seattle, WA|8000.0|110353.0|1379.4125|110353.0|3468|[285, 23, 137, 1073, 356, 159, 68, 73, 230, 156, 341, 19, 67, 7, 31, 289, 12, 9, 9, 12, 6, 1, 3, 4, 6, 9, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0]|[1.0, 3.0, 5.0, 8.0, 9.0, 12.0, 15.0, 20.0, 25.0, 35.0, 35.0, 40.0, 50.0, 50.0, 75.0, 100.0, 100.0, 150.0, 250.0, 250.0, 300.0, 300.0, 300.0, 500.0, 500.0, 750.0, 1000.0, 2500.0, 3000.0, 5000.0, 7500.0, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]|/projects/michaellaine/space-elevator-science-climb-to-the-sky-a-tethered|1.0|medium|1|low|0|michaellaine|Michael Laine|USA|2012-08-23|2012-09-13|21
960|Strength Of The SWORD ULTIMATE|A Fighting game combined with a BRAWLER!With a huge sword rocket launcher and a FLAMETHROWER!PC/Mac/Linux/PS4/XBone/PSVita/WiiU|Video Games|Sofia, Bulgaria|14000.0|88093.0|629.235714286|88093.0|3467|[41, 33, 565, 200, 91, 125, 68, 37, 611, 678, 70, 71, 55, 11, 51, 206, 35, 35, 52, 17, 306, 59, 4, 3, 10, 2, 3, 6]|[1.0, 5.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 15.0, 15.0, 15.0, 15.0, 15.0, 15.0, 30.0, 45.0, 45.0, 45.0, 45.0, 45.0, 47.0, 90.0, 90.0, 90.0, 90.0, 90.0, 500.0, 500.0]|/projects/1145990096/strength-of-the-sword-ultimate|1.0|medium|1|low|0|1145990096|Ivent|Bulgaria|2015-02-09|2015-03-11|30
961|ZOMBIES, RUN! Running game & audio adventure for iOS/Android|Rebuild civilization after a zombie apocalypse by running in the real world, with story and gameplay coming through your headphones|Video Games|London, UK|12500.0|72627.0|581.016|72627.0|3464|[102, 2620, 207, 345, 138, 8, 5, 18, 3, 0, 0]|[1.0, 10.0, 20.0, 45.0, 85.0, 200.0, 200.0, 350.0, 1500.0, 2500.0, 3000.0]|/projects/sixtostart/zombies-run-a-running-game-and-audio-adventure-for|1.0|medium|1|low|0|sixtostart|Six to Start and Naomi Alderman|USA|2011-09-08|2011-10-10|32
962|Simple. Handcrafted. Born in NYC.|As featured in GQ, Esquire, Fast Company, and Vogue. Join us.|Fashion|New York, NY|75000.0|470279.0|627.038666667|470279.0|3463|[55, 1084, 660, 456, 739, 125, 110, 29, 176, 1]|[2.0, 70.0, 90.0, 135.0, 155.0, 175.0, 200.0, 260.0, 400.0, 2000.0]|/projects/leonardandchurch/a-new-way-to-buy-a-luxury-watch|1.0|dreaming|3|medium|1|leonardandchurch|Leonard & Church|USA|2014-07-18|2014-08-22|34
963|AQUA - World's Lightest Headphone Amplifier, Battery-free|Your listening experience reinvented. Live concerts on the go. Powerful. Featherlight. Stylish. And battery-free!|Hardware|Taipei City, Taiwan|16000.0|311788.0|1948.675|311788.0|3462|[50, 49, 200, 199, 600, 150, 827, 355, 299, 461, 50, 88, 50, 16, 23, 2]|[39.0, 39.0, 49.0, 49.0, 59.0, 59.0, 59.0, 59.0, 99.0, 99.0, 138.0, 138.0, 230.0, 230.0, 450.0, 450.0]|/projects/311770269/aqua-worlds-lightest-headphone-amplifier|1.0|medium|1|low|0|311770269|NEXUM|Taiwan|2015-08-04|2015-09-28|55
964|Drinking Quest: Journey into Draught|It's a Drinking Game and a Tabletop RPG! Drinking Quest returns with a joyous new game that's great for new and existing players alike.|Tabletop Games|Toronto, Canada|11250.0|105303.75|936.033333333|105303.75|3460|[34, 1729, 100, 100, 100, 99, 100, 100, 100, 521, 237, 100, 100, 28, 2]|[7.0, 22.0, 26.0, 27.0, 27.0, 28.0, 29.0, 30.0, 30.0, 36.0, 38.0, 44.0, 44.0, 74.0, 296.0]|/projects/drinkingquest/drinking-quest-journey-into-draught|0.75|medium|1|low|0|drinkingquest|Jason Anarchy|Canada|2016-02-29|2016-03-30|30
965|Relic Knights|A brand new science fiction miniatures game full of over the top anime action!|Tabletop Games|Atlanta, GA|20000.0|909537.0|4547.685|909537.0|3459|[18, 29, 20, 211, 100, 1259, 50, 623, 30, 1039, 5, 5, 4, 3, 1]|[10.0, 25.0, 45.0, 50.0, 90.0, 100.0, 180.0, 190.0, 260.0, 270.0, 1500.0, 1510.0, 1520.0, 3000.0, 3020.0]|/projects/coolminiornot/relic-knights|1.0|high|2|low|0|coolminiornot|CoolMiniOrNot|USA|2012-08-07|2012-09-09|33
966|Wynd - The smartest air purifier for your personal space|Wynd monitors and cleans the air as needed. It’s portable, so you can breathe easy wherever you go.|Gadgets|Redwood City, CA|50000.0|604792.0|1209.584|604792.0|3456|[133, 241, 299, 2130, 162, 316, 119, 15, 8]|[1.0, 69.0, 129.0, 139.0, 149.0, 278.0, 399.0, 1290.0, 1500.0]|/projects/882633450/wynd-the-smartest-air-purifier-for-your-personal-s|1.0|high|2|medium|1|882633450|Wynd Technologies, Inc.|USA|2016-06-02|2016-07-12|40
967|The Culture High|The HIGHLY anticipated follow up film to the cult classic documentary The Union: The Business Behind Getting High|Documentary|Los Angeles, CA|190000.0|240022.0|126.327368421|240022.0|3448|[174, 52, 31, 1086, 925, 283, 284, 192, 68, 64, 10, 12, 6, 5]|[5.0, 10.0, 15.0, 25.0, 35.0, 50.0, 60.0, 100.0, 150.0, 200.0, 500.0, 1000.0, 5000.0, 10000.0]|/projects/scorgie/the-culture-high|1.0|dreaming|3|high|2|scorgie|Adam Scorgie|USA|2012-06-21|2012-08-03|43
968|The Book of Unwritten Tales 2|Help us tread new paths with the second installment of the acclaimed BoUT adventure game series. A sequel is coming...|Video Games|Boston, MA|65000.0|171593.0|263.989230769|171593.0|3446|[44, 1325, 500, 468, 308, 89, 60, 100, 3, 321, 22, 7, 65, 25, 9, 15, 13, 2, 2, 7, 0, 1, 1, 0]|[5.0, 25.0, 30.0, 35.0, 55.0, 55.0, 55.0, 80.0, 85.0, 90.0, 100.0, 150.0, 160.0, 185.0, 200.0, 250.0, 260.0, 400.0, 400.0, 500.0, 1000.0, 2500.0, 3000.0, 5000.0]|/projects/kingartgames/the-book-of-unwritten-tales-2|1.0|dreaming|3|medium|1|kingartgames|KING Art Games|USA|2014-02-11|2014-03-23|40
969|Gmail for Mac: Finally, Gmail is a true desktop email client|A Revolution for Gmail on the Desktop, and the most seamlessly fluid email client you’ll ever use. We’ve built it. Help us launch!|Software|New York, NY|20000.0|42202.0|211.01|42202.0|3444|[2613, 103, 91, 74, 306, 175, 13, 44, 3, 6, 1]|[5.0, 9.0, 14.0, 21.0, 28.0, 40.0, 80.0, 100.0, 150.0, 300.0, 1000.0]|/projects/1919581657/gmail-for-mac-finally-gmail-is-a-true-desktop-emai|1.0|high|2|low|0|1919581657|Zive|USA|2014-11-05|2014-12-08|33
970|For The King|Embark on a perilous adventure with turn-based combat and strategic exploration in this single player and online cooperative roguelike.|Video Games|Vancouver, Canada|30000.0|100245.75|334.1525|100245.75|3441|[1462, 583, 250, 370, 100, 136, 207, 120, 25, 20, 25, 25, 31, 4, 12, 5, 7, 5]|[11.0, 15.0, 19.0, 23.0, 26.0, 38.0, 45.0, 53.0, 60.0, 72.0, 72.0, 94.0, 132.0, 189.0, 227.0, 378.0, 566.0, 755.0]|/projects/fortheking/for-the-king-0|0.75|high|2|low|0|fortheking|IronOak Games|Canada|2015-09-15|2015-10-16|31
971|SOSCharger Self-Powered iPhone & Smart Phone Charger|Out of power? The SOS Charger is powered by you. Charge your smart phone, including iPhone, or USB powered device anywhere.|Product Design|Seattle, WA|27000.0|135081.0|500.3|135081.0|3436|[13, 500, 2645, 168, 59]|[5.0, 25.0, 35.0, 45.0, 65.0]|/projects/brianlegge/soscharger-self-powered-iphone-and-smart-phone-cha|1.0|high|2|low|0|brianlegge|SOScharger|USA|2013-03-09|2013-04-26|47
972|Instacube: A Living Canvas for your Instagram Photos|Liberating Instagram photos from your smart device, Instacube feeds your favorite images wirelessly at 3x the size.|Product Design|Mountain View, CA|250000.0|621049.0|248.4196|621049.0|3434|[45, 22, 1000, 657, 1000, 336, 69, 62, 100, 28, 0, 1, 2]|[10.0, 35.0, 99.0, 149.0, 199.0, 239.0, 249.0, 269.0, 349.0, 799.0, 2499.0, 5000.0, 10000.0]|/projects/1084349160/instacube-a-living-canvas-for-your-instagram-photo|1.0|dreaming|3|dreaming|3|1084349160|"D2M | Design to Matter"|USA|2012-08-21|2012-09-21|31
973|Carbon 6 Forged Carbon Fiber Glow Rings|Our forged carbon rings offer a unique, modern take on the traditional wedding band. Please help us bring these rings to the world! www.carbon6rings.com|Product Design|Rexburg, ID|11500.0|408861.0|3555.31304348|408861.0|3431|[25, 259, 25, 196, 1250, 62, 342, 92, 71, 46, 50, 66, 437, 14, 21, 47, 23, 48, 6, 164, 8, 2, 32, 2, 1, 5, 20, 13, 30, 2, 21, 1, 2, 1, 1, 3, 8, 3, 6, 1, 0]|[45.0, 55.0, 65.0, 75.0, 85.0, 90.0, 110.0, 120.0, 125.0, 130.0, 145.0, 150.0, 150.0, 160.0, 165.0, 175.0, 180.0, 185.0, 185.0, 195.0, 205.0, 205.0, 215.0, 215.0, 215.0, 220.0, 225.0, 230.0, 235.0, 255.0, 270.0, 275.0, 280.0, 310.0, 330.0, 340.0, 370.0, 410.0, 450.0, 480.0, 1200.0]|/projects/2032033024/carbon-6-forged-carbon-fiber-and-luminescent-rings|1.0|medium|1|low|0|2032033024|John Paul Easley|USA|2015-07-03|2015-08-02|30
974|Children of Morta|Children of Morta is a story-driven hack ‘n slash roguelike game which will involve you in the adventures of the Bergson family.|Video Games|Austin, TX|65000.0|108938.0|167.596923077|108938.0|3427|[18, 1170, 663, 433, 225, 250, 243, 125, 110, 28, 15, 21, 32, 14, 25, 3, 0, 0, 2, 1]|[5.0, 15.0, 20.0, 25.0, 35.0, 40.0, 45.0, 50.0, 55.0, 65.0, 66.0, 75.0, 99.0, 129.0, 149.0, 249.0, 499.0, 999.0, 2500.0, 5000.0]|/projects/deadmage/children-of-morta|1.0|dreaming|3|medium|1|deadmage|Dead Mage|USA|2015-01-20|2015-02-19|30
975|Nora, The Smart Snoring Solution|Start enjoying quiet nights, better sleep, and fresh mornings with Nora, the first smart and non-invasive snoring solution .|Technology|San Francisco, CA|100000.0|832523.0|832.523|832523.0|3426|[238, 100, 350, 50, 100, 770, 1490, 13, 36, 50, 70, 125, 4]|[1.0, 145.0, 179.0, 179.0, 199.0, 199.0, 239.0, 269.0, 289.0, 290.0, 358.0, 398.0, 1000.0]|/projects/behrouz/nora-the-smart-snoring-solution|1.0|dreaming|3|high|2|behrouz|Smart Nora Inc.|USA|2015-10-13|2015-11-12|30
